radius (m),length (m),xy,y,z,axis_direction,,,branch,branch_order
0.0156,0.0968,-12.6119,144.987,160.694,-0.0881,0.2616,0.9611,3,1
0.015,0.0633,-12.6182,145.008,160.788,-0.0499,0.3336,0.9414,3,1
0.0082,0.0753,-12.6393,145.025,160.852,0.1353,0.3071,0.942,3,1
0.0204,0.047,-12.6134,145.058,160.921,0.0395,0.1175,0.9923,3,1
0.0133,0.0535,-12.619,145.064,160.967,-0.0983,0.1351,0.9859,3,1
0.0128,0.0565,-12.6407,145.066,161.021,-0.0032,0.2159,0.9764,3,1
0.0121,0.0899,-12.6429,145.078,161.076,0.0071,0.2197,0.9755,3,1
0.0111,0.1076,-12.6402,145.099,161.163,0.0093,0.2151,0.9765,3,1
0.0099,0.1275,-12.6293,145.122,161.269,-0.0702,0.1987,0.9775,3,1
0.0121,0.0714,-12.6459,145.149,161.393,-0.0029,0.156,0.9877,3,1
0.006,0.0449,-12.6318,145.16,161.464,-0.0205,0.2397,0.9706,3,1
0.0077,0.0472,-12.6348,145.172,161.507,-0.1352,0.1405,0.9808,3,1
0.005,0.0825,-12.6346,145.178,161.554,-0.093,0.1934,0.9767,3,1
0.0091,0.0543,-12.6505,145.194,161.635,-0.0035,0.1881,0.9821,3,1
0.0056,0.0597,-12.6443,145.203,161.688,0.0653,0.1821,0.9811,3,1
0.005,0.0638,-12.6445,145.215,161.747,0.0456,0.1601,0.986,3,1
0.0079,0.2271,-12.6337,145.22,161.811,0.0299,0.2777,0.9602,3,1
0.0053,0.0876,-12.6317,145.281,162.03,0.0326,0.1341,0.9904,3,1
0.0072,0.0496,-12.616,145.291,162.116,0.0403,0.2729,0.9612,3,1
0.0087,0.0554,-12.6347,145.299,162.167,0.0722,0.2842,0.956,3,1
0.005,0.0604,-12.6226,145.32,162.218,0.1448,0.1834,0.9723,3,1
0.005,0.1217,-12.6123,145.33,162.277,0.0977,0.1878,0.9773,3,1
0.0254,0.2148,-14.1208,143.85,159.206,-0.5229,0.0716,0.8494,4,1
0.0253,0.1965,-14.2345,143.865,159.388,-0.434,0.0069,0.9009,4,1
0.0275,0.1416,-14.316,143.866,159.567,-0.5434,0.0862,0.835,4,1
0.0268,0.0981,-14.4064,143.876,159.681,-0.338,0.1895,0.9219,4,1
0.0265,0.1127,-14.4381,143.889,159.783,-0.1229,0.8831,0.4529,4,1
0.024,0.0937,-14.4571,143.987,159.843,0.0617,0.979,0.1941,4,1
0.0231,0.1449,-14.4491,144.088,159.851,0.0482,0.702,0.7105,4,1
0.0209,0.0829,-14.4402,144.191,159.954,0.0597,0.4363,0.8978,4,1
0.0211,0.1276,-14.4319,144.228,160.027,0.1125,0.2659,0.9574,4,1
0.0274,0.0996,-14.4155,144.249,160.158,0.4419,0.5387,0.7173,4,1
0.0262,0.3449,-14.3642,144.274,160.236,0.1813,0.2496,0.9512,4,1
0.0148,0.0845,-14.278,144.337,160.565,0.06,0.1017,0.993,4,1
0.0118,0.057,-14.274,144.346,160.648,0.1033,0.0523,0.9933,4,1
0.0138,0.1513,-14.2682,144.348,160.705,0.1028,0.0643,0.9926,4,1
0.0128,0.1787,-14.253,144.359,160.855,-0.0052,0.0321,0.9995,4,1
0.0116,0.1802,-14.2554,144.365,161.034,0.0405,0.0601,0.9974,4,1
0.0099,0.0893,-14.2477,144.374,161.214,0.0863,0.0188,0.9961,4,1
0.01,0.0775,-14.2394,144.375,161.303,0.0698,0.0474,0.9964,4,1
0.0094,0.0767,-14.2349,144.379,161.38,0.0728,0.0434,0.9964,4,1
0.0087,0.0771,-14.2347,144.379,161.456,-0.0129,0.0335,0.9994,4,1
0.0106,0.1726,-14.2293,144.395,161.534,0.1002,-0.0611,0.9931,4,1
0.0085,0.0566,-14.2129,144.385,161.705,0.0153,0.0425,0.999,4,1
0.0061,0.0649,-14.2135,144.39,161.761,-0.0872,0.0483,0.995,4,1
0.0094,0.1069,-14.21,144.397,161.825,0.0447,0.0387,0.9983,4,1
0.0176,0.05,-14.1925,144.404,161.933,-0.1812,0.3434,0.9215,4,1
0.0044,0.0489,-14.212,144.404,161.982,0.0734,0.1203,0.99,4,1
0.0036,0.0755,-14.2081,144.411,162.03,0.1124,0.106,0.988,4,1
0.0036,0.0773,-14.2029,144.418,162.106,0.1689,0.0786,0.9825,4,1
0.0056,0.0686,-14.1852,144.426,162.181,0.1105,0.0163,0.9937,4,1
