radius (m),length (m),x,y,z,axis_direction(a),axis_direction(b),axis_directoin(c),branch,branch_order
0.0084,0.0684,-15.7571,144.189,160.837,-0.1045,0.3128,0.944,125,3
0.0084,0.1166,-15.7643,144.211,160.901,-0.3851,0.3052,0.8709,125,3
0.0095,0.0726,-15.8076,144.25,161.002,-0.3904,0.3023,0.8696,125,3
0.0084,0.0703,-15.8378,144.27,161.065,-0.3813,0.2984,0.875,125,3
0.0041,0.146,-15.8688,144.289,161.126,-0.3372,0.2295,0.913,125,3
0.0044,0.0705,-15.9203,144.322,161.259,-0.2784,0.2232,0.9342,125,3
0.0054,0.1885,-15.9379,144.34,161.324,-0.1825,0.1979,0.9631,125,3
0.0053,0.0815,-15.971,144.376,161.506,-0.1286,0.184,0.9745,125,3
0.0145,0.1009,-15.9703,144.399,161.585,-0.0657,0.1357,0.9886,125,3
0.0036,0.0987,-15.9068,144.064,161.043,0.265,-0.1278,0.9557,126,3
0.0053,0.0965,-15.8748,144.056,161.137,0.1963,-0.0865,0.9767,126,3
0.0046,0.059,-15.858,144.046,161.231,0.1768,-0.0181,0.9841,126,3
0.0033,0.1514,-15.8503,144.042,161.29,0.1855,0.0018,0.9826,126,3
0.0074,0.0861,-15.8137,144.043,161.438,0.1175,0.0049,0.9931,126,3
0.0041,0.081,-13.4326,145.399,160.293,0.8925,0.2522,-0.3739,127,3
0.0046,0.1415,-13.3501,145.42,160.27,0.5538,0.2242,-0.8019,127,3
0.0034,0.0593,-13.2676,145.452,160.158,0.2935,0.2331,-0.9271,127,3
0.0033,0.2167,-13.2489,145.463,160.102,0.2921,0.3019,-0.9075,127,3
0.0025,0.2082,-13.4197,145.508,160.582,-0.5689,-0.47,-0.6749,128,3
0.0033,0.1743,-13.4451,145.469,160.52,-0.0584,0.8276,-0.5582,128,3
0.0026,0.1411,-13.5102,145.561,160.438,-0.5993,0.4369,-0.6707,128,3
0.0159,0.1393,-13.4345,145.454,160.363,0.4287,0.7909,-0.4367,129,3
0.015,0.2097,-13.3798,145.551,160.311,0.9251,-0.3794,-0.0119,129,3
0.0131,0.0544,-13.1964,145.449,160.307,0.2569,-0.0444,-0.9654,129,3
0.0088,0.0343,-13.1697,145.435,160.264,0.5363,-0.0706,-0.8411,129,3
0.0072,0.2258,-13.1557,145.43,160.232,0.5251,-0.0088,-0.851,129,3
0.0051,0.2071,-13.4176,145.512,160.583,0.6222,-0.7497,-0.2253,130,3
0.0057,0.1988,-13.2834,145.355,160.543,0.5367,-0.6162,-0.5764,130,3
0.0025,0.155,-13.1534,145.2,160.395,0.6895,-0.2152,0.6915,130,3
0.007,0.0501,-13.3651,145.575,160.638,0.1502,0.9824,-0.1107,131,3
0.007,0.0727,-13.3576,145.624,160.633,0.4395,0.8337,-0.3344,131,3
0.0133,0.0507,-13.3322,145.69,160.608,0.649,0.7575,0.0704,131,3
0.0126,0.0677,-13.3112,145.747,160.591,0.188,0.776,0.602,131,3
0.0076,0.063,-13.292,145.799,160.631,0.1943,0.6632,0.7228,131,3
0.0055,0.0783,-13.2746,145.841,160.675,0.1765,0.6535,0.7361,131,3
0.0051,0.0789,-13.2583,145.893,160.732,0.1892,0.619,0.7623,131,3
0.0047,0.0606,-13.2428,145.941,160.792,0.1228,0.6468,0.7527,131,3
0.0028,0.0814,-13.2333,145.978,160.839,0.1294,0.671,0.7301,131,3
0.005,0.059,-13.2228,146.033,160.899,0.2645,0.6175,0.7408,131,3
0.0029,0.088,-13.209,146.072,160.941,0.1872,0.5917,0.7841,131,3
0.0025,0.0497,-13.1929,146.124,161.01,0.1928,0.5582,0.807,131,3
0.0025,0.1034,-13.1839,146.153,161.05,0.1972,0.4803,0.8547,131,3
0.0079,0.1843,-13.3992,145.546,160.588,0.6485,0.4677,0.6005,132,3
0.0103,0.0834,-13.2813,145.634,160.699,0.5707,0.4154,0.7084,132,3
0.0086,0.0647,-13.2304,145.67,160.756,0.4992,0.3405,0.7968,132,3
0.0069,0.1383,-13.1931,145.692,160.805,0.4113,0.3018,0.8601,132,3
0.0088,0.141,-13.1381,145.733,160.925,0.3644,0.2817,0.8876,132,3
0.012,0.086,-13.0696,145.767,161.045,0.3459,0.2666,0.8996,132,3
0.0067,0.1131,-13.0527,145.795,161.126,0.3532,0.1874,0.9166,132,3
0.0066,0.0511,-13.0181,145.817,161.232,0.3893,0.1668,0.9059,132,3
0.0098,0.0979,-12.9932,145.837,161.276,0.2073,0.144,0.9676,132,3
0.007,0.119,-12.9732,145.844,161.372,0.3167,0.2253,0.9214,132,3
0.0138,0.2296,-12.9395,145.883,161.48,0.4155,0.3033,0.8575,132,3
0.014,0.0452,-12.8513,145.956,161.677,0.334,0.5486,0.7665,132,3
0.0059,0.1112,-12.8469,145.973,161.716,0.1737,0.2472,0.9533,132,3
0.0025,0.3422,-13.4061,145.521,160.526,0.2046,-0.4089,0.8893,133,3
0.0025,0.2932,-13.3201,145.357,160.813,0.2552,-0.4676,0.8463,133,3
0.0084,0.0379,-13.1517,145.508,161.174,0.9157,-0.0954,-0.3903,134,3
0.0083,0.1042,-13.1398,145.512,161.157,0.1471,0.5769,0.8034,134,3
0.0079,0.0624,-13.101,145.593,161.216,0.3851,0.5079,0.7706,134,3
0.008,0.1704,-13.0747,145.626,161.263,0.3294,0.3433,0.8796,134,3
0.0044,0.066,-13.0133,145.688,161.409,0.3588,0.3277,0.874,134,3
0.0029,0.0571,-12.9915,145.711,161.467,0.3828,0.3083,0.8709,134,3
0.0025,0.0889,-12.9717,145.729,161.518,0.3944,0.2983,0.8692,134,3
0.0031,0.0752,-12.9399,145.756,161.596,0.4039,0.354,0.8435,134,3
0.0034,0.156,-12.9083,145.783,161.659,0.3901,0.2899,0.874,134,3
0.0025,0.268,-12.6821,144.958,160.448,-0.3925,0.9191,0.036,135,3
0.0025,0.3456,-12.2037,145.289,160.107,-0.6891,-0.722,0.0619,136,3
0.0025,0.1309,-12.4911,145.114,160.171,-0.7448,-0.6255,0.2324,136,3
0.0043,0.2091,-12.4798,145.245,160.134,0.2541,0.5728,-0.7794,137,3
0.0056,0.1065,-12.6064,144.825,160.572,0.5982,0.0092,0.8013,138,3
0.0056,0.063,-12.5427,144.826,160.658,0.7605,0.0692,0.6456,138,3
0.0054,0.077,-12.4956,144.83,160.699,0.7916,0.0724,0.6067,138,3
0.0051,0.0748,-12.4344,144.835,160.746,0.7929,0.0616,0.6063,138,3
0.0042,0.1485,-12.37,144.841,160.786,0.7469,0.0218,0.6646,138,3
0.0037,0.0668,-12.2567,144.844,160.882,0.6823,0.0321,0.7304,138,3
0.0032,0.0619,-12.2079,144.849,160.928,0.6615,-0.0199,0.7496,138,3
0.004,0.0941,-12.1661,144.846,160.974,0.6309,-0.0003,0.7759,138,3
0.0032,0.0755,-12.1034,144.845,161.045,0.5039,0.0052,0.8638,138,3
0.0032,0.1228,-12.0639,144.846,161.109,0.3828,0.0436,0.9228,138,3
0.0069,0.1593,-12.5697,144.728,160.564,0.5404,-0.1476,0.8284,139,3
0.0117,0.0697,-12.4877,144.703,160.699,0.5515,-0.1874,0.8129,139,3
0.0065,0.0949,-12.4448,144.694,160.753,0.5319,-0.1828,0.8268,139,3
0.0068,0.1047,-12.3942,144.676,160.831,0.496,-0.1805,0.8494,139,3
0.0054,0.0643,-12.3397,144.657,160.919,0.4331,-0.139,0.8905,139,3
0.0045,0.083,-12.3059,144.651,160.974,0.4382,-0.1889,0.8788,139,3
0.0042,0.0621,-12.2719,144.633,161.048,0.4686,-0.1578,0.8692,139,3
0.0035,0.0731,-12.2418,144.625,161.102,0.3822,-0.181,0.9062,139,3
0.0032,0.0821,-12.2146,144.611,161.168,0.448,-0.1386,0.8832,139,3
0.0032,0.1034,-12.1761,144.6,161.24,0.4041,-0.1303,0.9054,139,3
0.0031,0.1542,-12.1341,144.585,161.333,0.3934,-0.083,0.9156,139,3
0.0031,0.109,-12.5527,144.594,160.532,-0.7361,0.1075,0.6683,140,3
0.005,0.1092,-12.6332,144.605,160.604,-0.2816,-0.4773,0.8324,140,3
0.005,0.1036,-12.6647,144.553,160.695,-0.2546,-0.4659,0.8474,140,3
0.005,0.0687,-12.6901,144.505,160.783,-0.2619,-0.446,0.8559,140,3
0.005,0.083,-12.7085,144.47,160.84,-0.2124,-0.4377,0.8737,140,3
0.0082,0.3399,-12.7379,144.322,160.94,-0.7881,-0.0693,-0.6117,140,3
0.0099,0.0303,-12.9887,144.321,160.859,-0.9775,0.1869,0.0973,140,3
0.0095,0.1619,-13.0217,144.335,160.861,0.1351,0.2024,0.9699,140,3
0.0105,0.0584,-12.9972,144.365,161.018,0.1238,0.2413,0.9625,140,3
0.0076,0.0584,-13.0047,144.372,161.078,0.1266,0.2069,0.9701,140,3
0.0076,0.0849,-12.9973,144.384,161.134,0.1143,0.2054,0.972,140,3
0.007,0.0681,-12.9869,144.402,161.217,0.1268,0.1797,0.9755,140,3
0.0074,0.0826,-12.9786,144.415,161.283,0.1246,0.1309,0.9835,140,3
0.0055,0.0704,-12.966,144.427,161.364,0.0892,0.1501,0.9846,140,3
0.0049,0.0455,-12.9526,144.44,161.433,0.0312,0.1093,0.9935,140,3
0.0049,0.0538,-12.954,144.447,161.478,0.2314,0.1347,0.9635,140,3
0.0118,0.0484,-12.9553,144.457,161.534,0.226,-0.1582,0.9612,140,3
0.0104,0.0664,-12.9297,144.447,161.579,0.0978,0.2391,0.9661,140,3
0.0056,0.0626,-12.9335,144.457,161.646,0.1409,0.1166,0.9831,140,3
0.0061,0.1171,-12.9227,144.466,161.707,0.1064,-0.0001,0.9943,140,3
0.0062,0.2078,-12.5631,144.6,160.566,0.2855,-0.3166,0.9046,141,3
0.0063,0.115,-12.5035,144.534,160.754,0.2086,-0.3739,0.9037,141,3
0.0067,0.0651,-12.4794,144.489,160.857,0.1721,-0.3242,0.9302,141,3
0.0059,0.0898,-12.4666,144.466,160.917,0.1714,-0.3397,0.9248,141,3
0.004,0.1388,-12.4494,144.436,161,0.1926,-0.2774,0.9412,141,3
0.0037,0.0806,-12.4227,144.396,161.13,0.1657,-0.244,0.9555,141,3
0.0032,0.0568,-12.4124,144.374,161.208,0.2312,-0.1593,0.9598,141,3
0.0035,0.1251,-12.4005,144.366,161.263,0.2617,-0.1775,0.9487,141,3
0.0038,0.0858,-12.3661,144.344,161.381,0.216,-0.1653,0.9623,141,3
0.0041,0.0416,-12.3456,144.325,161.463,0.2437,-0.0608,0.9679,141,3
0.0032,0.1415,-12.3356,144.324,161.503,0.2,-0.151,0.9681,141,3
0.0108,0.1691,-12.5668,144.564,160.551,0.4908,-0.7248,-0.4835,142,3
0.0074,0.1156,-12.4851,144.425,160.459,0.6983,-0.4172,0.5817,142,3
0.0049,0.087,-12.404,144.373,160.524,0.5458,-0.3947,0.7391,142,3
0.0043,0.0596,-12.3597,144.335,160.589,0.5076,-0.3653,0.7803,142,3
0.0037,0.0532,-12.3277,144.315,160.635,0.4657,-0.4178,0.7801,142,3
0.0031,0.0478,-12.3003,144.294,160.676,0.4653,-0.3447,0.8153,142,3
0.0045,0.0665,-12.2826,144.276,160.717,0.5239,-0.1858,0.8312,142,3
0.0023,0.0788,-12.2472,144.258,160.772,0.4543,-0.1092,0.8841,142,3
0.0025,0.1111,-11.9528,144.61,160.236,0.5526,-0.717,0.4248,143,3
0.0033,0.1758,-11.8827,144.527,160.273,0.4643,-0.6624,0.5879,143,3
0.0024,0.2219,-11.7991,144.405,160.371,0.4674,-0.5029,0.7271,143,3
0.0141,0.083,-12.3275,144.657,160.413,0.6103,-0.4863,0.6253,144,3
0.0141,0.0431,-12.2695,144.611,160.456,0.4696,-0.5462,0.6936,144,3
0.0141,0.0892,-12.2535,144.589,160.496,0.6905,-0.6048,0.3967,144,3
0.0054,0.2201,-12.1814,144.53,160.514,0.5841,-0.5793,0.5686,144,3
0.004,0.0451,-12.2538,144.717,160.359,-0.1108,0.7945,0.5971,145,3
0.004,0.0223,-12.2588,144.753,160.386,0.7512,0.4309,0.5,145,3
0.0035,0.1061,-12.2438,144.766,160.397,0.7874,0.382,0.4839,145,3
0.0041,0.0631,-12.1607,144.807,160.449,0.8008,0.3749,0.4671,145,3
0.0036,0.0673,-12.1095,144.829,160.478,0.7596,0.3383,0.5555,145,3
0.0033,0.0791,-12.0569,144.854,160.513,0.7281,0.2947,0.6189,145,3
0.0032,0.0675,-11.9983,144.88,160.56,0.6883,0.2511,0.6805,145,3
0.0042,0.067,-11.9525,144.897,160.606,0.6348,0.1977,0.747,145,3
0.0059,0.0759,-11.9113,144.908,160.658,0.6711,0.1583,0.7242,145,3
0.0054,0.0215,-11.8448,144.924,160.73,-0.7166,0.4086,0.5653,145,3
0.0051,0.2044,-11.8393,144.93,160.758,-0.6012,-0.1067,0.7919,145,3
0.0032,0.0873,-12.071,144.655,160.275,0.5739,-0.0226,0.8186,146,3
0.0029,0.0609,-12.0237,144.653,160.348,0.5565,-0.0487,0.8294,146,3
0.0026,0.0743,-11.9838,144.653,160.395,0.5221,-0.0313,0.8523,146,3
0.0029,0.1352,-11.9476,144.648,160.46,0.5334,-0.0168,0.8457,146,3
0.0033,0.0615,-11.8715,144.646,160.572,0.4776,-0.0197,0.8783,146,3
0.0056,0.0539,-11.8491,144.644,160.63,0.5039,-0.0527,0.8621,146,3
0.0042,0.0484,-11.8167,144.643,160.674,0.4573,-0.0826,0.8855,146,3
0.0036,0.0775,-11.794,144.64,160.717,0.5054,-0.0802,0.8591,146,3
0.004,0.1627,-11.7581,144.633,160.785,0.4931,-0.0599,0.8679,146,3
0.0035,0.0654,-11.6781,144.623,160.927,0.4664,0.0493,0.8832,146,3
0.0029,0.0775,-11.6469,144.628,160.984,0.4105,0.0175,0.9117,146,3
0.004,0.0803,-11.6128,144.63,161.053,0.4084,0.0214,0.9126,146,3
0.0025,0.046,-12.0668,144.652,160.268,0.3696,0.5466,-0.7514,147,3
0.0044,0.1048,-12.6007,145.124,160.596,0.4101,0.6092,0.6788,148,3
0.0031,0.0997,-12.5542,145.187,160.665,0.403,0.6449,0.6494,148,3
0.0049,0.1051,-12.5166,145.251,160.733,0.4079,0.6783,0.6112,148,3
0.0031,0.0647,-12.4712,145.321,160.796,0.4463,0.6616,0.6026,148,3
0.0039,0.0652,-12.4469,145.365,160.837,0.4505,0.6509,0.611,148,3
0.0031,0.1221,-12.4134,145.407,160.875,0.3829,0.6348,0.6712,148,3
0.0037,0.0878,-12.6021,145.132,160.587,-0.0617,0.9601,-0.2729,149,3
0.0035,0.073,-12.6075,145.216,160.563,-0.0054,0.8888,-0.4582,149,3
0.0055,0.0678,-12.6047,145.279,160.525,0.0784,0.9367,-0.3413,149,3
0.0095,0.3222,-12.6113,145.341,160.487,0.1244,0.9754,-0.1822,149,3
0.0061,0.0345,-12.5343,144.979,160.921,0.5967,-0.0089,0.8024,150,3
0.0061,0.0697,-12.5137,144.979,160.949,0.5373,-0.1198,0.8349,150,3
0.0056,0.0712,-12.4759,144.971,161.007,0.5419,-0.1137,0.8327,150,3
0.0053,0.0706,-12.4369,144.962,161.066,0.545,-0.0967,0.8328,150,3
0.0047,0.0674,-12.398,144.956,161.124,0.5663,-0.1058,0.8174,150,3
0.0046,0.1141,-12.3584,144.949,161.178,0.5421,-0.12,0.8317,150,3
0.0075,0.1138,-12.3028,144.936,161.277,0.4742,-0.1554,0.8666,150,3
0.0071,0.078,-12.2467,144.92,161.375,0.403,-0.1014,0.9096,150,3
0.0049,0.1485,-12.2128,144.913,161.445,0.3901,-0.0535,0.9192,150,3
0.005,0.2131,-12.5995,145.136,160.976,0.2539,0.7732,0.5811,151,3
0.0036,0.0646,-12.5416,145.3,161.099,0.1989,0.7132,0.6722,151,3
0.0051,0.0888,-12.5215,145.346,161.142,0.0737,0.665,0.7432,151,3
0.0039,0.2003,-12.5136,145.412,161.203,0.142,0.5806,0.8017,151,3
0.0036,0.2344,-14.673,144.404,160.249,0.2386,0.8543,0.4618,152,3
0.0035,0.0309,-14.6171,144.605,160.357,0.235,0.6158,0.7521,152,3
0.0044,0.2458,-14.5935,144.654,160.36,0.1786,0.4838,0.8568,152,3
0.0043,0.2329,-14.55,144.776,160.569,0.1843,0.4439,0.8769,152,3
0.0064,0.1343,-14.7737,144.469,160.407,-0.0897,-0.7158,0.6925,153,3
0.0063,0.0327,-14.7858,144.373,160.5,-0.5145,-0.1909,0.8359,153,3
0.0062,0.1162,-14.7861,144.298,160.523,-0.5447,-0.1758,0.82,153,3
0.0061,0.1063,-14.832,144.285,160.63,-0.4526,-0.2383,0.8593,153,3
0.0059,0.1797,-14.8838,144.258,160.708,-0.914,0.3382,0.2241,153,3
0.0052,0.1891,-15.0045,144.394,160.777,0.3001,0.1817,-0.9364,153,3
0.0048,0.1336,-14.9517,144.473,160.559,-0.4528,0.5814,0.6759,153,3
0.0042,0.1416,-14.9942,144.504,160.656,-0.3127,0.0158,0.9497,153,3
0.0026,0.091,-15.0459,144.501,160.789,-0.2194,-0.0434,0.9747,153,3
0.0025,0.0572,-14.8012,144.626,161.14,0.3956,-0.4632,0.793,154,3
0.0032,0.146,-14.7775,144.593,161.183,0.2971,-0.348,0.8892,154,3
0.0026,0.1958,-14.7314,144.543,161.312,0.2311,-0.2921,0.928,154,3
0.0032,0.1859,-14.8044,144.658,161.362,0.6632,0.0749,0.7446,155,3
0.0025,0.1004,-14.1784,144.475,161.962,0.8715,0.373,0.3183,156,3
0.0025,0.1285,-14.0958,144.516,161.995,-0.4443,-0.413,-0.795,156,3
0.0028,0.1389,-14.2445,143.279,159.539,-0.1157,0.2778,0.9537,157,3
0.0028,0.1357,-14.308,143.302,159.678,-0.1205,0.6614,0.7403,157,3
0.0025,0.2223,-14.29,143.44,159.795,-0.514,0.0713,0.8548,157,3
0.0038,0.0909,-15.1478,142.288,160.557,0.2162,0.2726,0.9375,158,3
0.0028,0.098,-15.1305,142.311,160.643,0.2369,0.2992,0.9243,158,3
0.0031,0.0727,-15.1064,142.339,160.734,0.192,0.3625,0.912,158,3
0.0028,0.0812,-15.0904,142.364,160.8,0.136,0.3669,0.9203,158,3
0.0036,0.1646,-15.0796,142.397,160.874,0.1108,0.2996,0.9476,158,3
0.0034,0.0464,-15.1817,142.32,160.593,-0.5548,-0.569,0.607,159,3
0.0034,0.0523,-15.2074,142.293,160.622,-0.2441,-0.2629,0.9334,159,3
0.0035,0.099,-15.2231,142.28,160.67,-0.1542,-0.285,0.946,159,3
0.0041,0.0848,-15.2408,142.248,160.762,-0.1633,-0.2617,0.9512,159,3
0.0043,0.0731,-15.2557,142.229,160.844,-0.1224,-0.3405,0.9322,159,3
0.0044,0.0753,-15.264,142.204,160.912,-0.1385,-0.3339,0.9324,159,3
0.0034,0.1415,-15.2771,142.177,160.981,-0.0647,-0.3077,0.9493,159,3
0.003,0.1009,-15.4308,144.143,160.969,0.0278,0.435,0.9,160,4
0.0031,0.0757,-15.4295,144.185,161.061,0.0453,0.4415,0.8961,160,4
0.003,0.0543,-15.4253,144.218,161.129,-0.0107,0.4468,0.8946,160,4
0.0029,0.0743,-15.425,144.243,161.177,-0.0514,0.3873,0.9205,160,4
0.004,0.1374,-15.4279,144.271,161.246,-0.0554,0.3433,0.9376,160,4
0.0028,0.0506,-15.0244,143.33,160.454,0.2764,-0.8479,0.4524,161,4
0.0028,0.1822,-15.0104,143.287,160.477,-0.7181,-0.5358,0.4441,161,4
0.0026,0.1772,-14.9569,143.439,160.541,0.4176,-0.3265,0.848,162,4
0.0057,0.0467,-15.073,143.145,160.418,0.6383,-0.7607,0.1183,163,4
0.0058,0.0838,-15.0411,143.109,160.434,0.6205,-0.7685,-0.1562,163,4
0.009,0.0735,-14.9704,143.049,160.42,0.2338,-0.9429,0.2372,163,4
0.0087,0.1034,-14.9522,142.959,160.422,0.1783,-0.5717,0.8009,163,4
0.0057,0.0829,-14.9369,142.9,160.506,0.2137,-0.4147,0.8845,163,4
0.0076,0.3691,-14.8866,142.783,160.648,-0.2618,-0.6735,-0.6912,163,4
0.0076,0.0519,-14.9482,142.518,160.42,0.144,-0.7603,-0.6334,163,4
0.0084,0.0777,-14.9403,142.478,160.388,0.3118,-0.5599,-0.7676,163,4
0.0045,0.2113,-15.1459,142.948,160.349,-0.1599,-0.4154,0.8955,164,4
0.0049,0.2149,-15.1776,142.86,160.538,0.0041,-0.4889,0.8723,164,4
0.008,0.1018,-15.3427,142.646,160.849,-0.4154,-0.0377,0.9089,165,4
0.008,0.1142,-15.3544,142.616,160.946,-0.1715,-0.0127,0.9851,165,4
0.008,0.133,-15.3552,142.645,161.047,-0.1188,0.4091,0.9047,165,4
0.0047,0.1052,-15.3631,142.701,161.168,-0.1108,0.4779,0.8714,165,4
0.0034,0.2216,-15.3395,142.573,160.932,0.1825,-0.5365,-0.824,166,4
0.0051,0.1298,-15.3408,142.781,161.225,0.199,-0.2456,0.9487,167,4
0.0051,0.0838,-15.3149,142.749,161.348,0.163,-0.2838,0.9449,167,4
0.0047,0.055,-15.301,142.729,161.428,0.1234,-0.4219,0.8982,167,4
0.0058,0.0769,-15.2949,142.702,161.477,0.1664,-0.2899,0.9425,167,4
0.0056,0.0858,-15.284,142.675,161.548,0.1711,-0.3054,0.9367,167,4
0.0026,0.065,-15.393,143.081,160.55,-0.7646,-0.6313,0.1294,168,4
0.0026,0.0876,-15.4427,143.04,160.559,-0.7345,-0.4997,0.459,168,4
0.0071,0.0653,-15.3927,143.079,160.548,-0.7291,-0.3941,-0.5596,169,4
0.0069,0.0708,-15.4439,143.059,160.506,-0.6337,-0.6927,-0.3444,169,4
0.0065,0.0626,-15.491,143.014,160.475,-0.8241,-0.5582,-0.0965,169,4
0.0043,0.069,-15.5458,142.988,160.457,-0.8571,-0.5026,-0.1133,169,4
0.0064,0.1006,-15.6073,142.957,160.445,-0.8293,-0.5586,0.0133,169,4
0.006,0.0602,-15.6929,142.902,160.445,-0.5978,-0.7336,0.3233,169,4
0.0042,0.0659,-15.7305,142.858,160.463,-0.6076,-0.668,0.4297,169,4
0.0038,0.1024,-15.7703,142.812,160.49,-0.6401,-0.5792,0.5047,169,4
0.0042,0.058,-15.8354,142.752,160.541,-0.6434,-0.5518,0.5306,169,4
0.0036,0.07,-15.8723,142.718,160.571,-0.6289,-0.519,0.5789,169,4
0.0032,0.0596,-15.9171,142.681,160.61,-0.6125,-0.4894,0.6208,169,4
0.0034,0.0536,-15.954,142.652,160.646,-0.527,-0.4544,0.7182,169,4
0.0037,0.0866,-15.985,142.627,160.684,-0.4491,-0.4401,0.7776,169,4
0.003,0.0522,-16.0271,142.59,160.75,-0.3696,-0.4075,0.8351,169,4
0.004,0.1235,-16.047,142.568,160.793,-0.3348,-0.3354,0.8806,169,4
0.0089,0.0719,-13.6215,143.999,159.914,-0.1658,-0.7936,0.5855,170,4
0.0089,0.094,-13.6334,143.941,159.956,-0.3419,-0.4662,0.816,170,4
0.0128,0.1339,-13.6686,143.905,160.036,-0.3245,-0.4989,0.8036,170,4
0.0113,0.094,-13.7108,143.836,160.142,-0.2656,-0.5368,0.8008,170,4
0.0101,0.0658,-13.7357,143.785,160.217,-0.2688,-0.5944,0.7579,170,4
0.0098,0.0833,-13.753,143.745,160.266,-0.2654,-0.6016,0.7534,170,4
0.01,0.0663,-13.7766,143.694,160.329,0.0572,-0.5049,0.8613,170,4
0.0064,0.0815,-13.7809,143.652,160.383,-0.0603,-0.3368,0.9397,170,4
0.0071,0.0621,-13.7876,143.629,160.46,-0.0485,-0.2973,0.9535,170,4
0.0072,0.0663,-13.7909,143.611,160.519,-0.0922,-0.2806,0.9554,170,4
0.0058,0.1036,-13.8001,143.582,160.581,-0.0693,-0.1996,0.9774,170,4
0.0055,0.07,-13.8074,143.563,160.682,-0.1204,-0.3235,0.9385,170,4
0.0053,0.067,-13.8148,143.538,160.748,-0.1363,-0.2318,0.9632,170,4
0.0072,0.2741,-13.884,143.511,160.833,0.3559,-0.2189,0.9085,170,4
0.0062,0.1413,-13.8456,143.455,161.079,-0.0589,-0.2498,0.9665,170,4
0.0034,0.0864,-13.8513,143.418,161.215,-0.0303,-0.2299,0.9727,170,4
0.0035,0.0633,-13.8529,143.4,161.3,-0.0473,-0.1761,0.9832,170,4
0.0031,0.0543,-13.8557,143.385,161.362,-0.0266,-0.1092,0.9937,170,4
0.0031,0.1377,-13.8566,143.377,161.415,0.0042,-0.0928,0.9957,170,4
0.0053,0.0197,-13.4764,144.012,160.065,-0.0996,0.095,0.9905,171,4
0.0071,0.0975,-13.4796,144.024,160.083,-0.151,0.1029,0.9832,171,4
0.0053,0.052,-13.4934,144.027,160.18,-0.2224,0.1265,0.9667,171,4
0.0053,0.0672,-13.5044,144.035,160.23,-0.2357,0.1148,0.965,171,4
0.013,0.2148,-13.5205,144.028,160.297,-0.3112,0.1429,0.9395,171,4
0.0072,0.0961,-13.5893,144.065,160.497,-0.346,0.1645,0.9237,171,4
0.0054,0.1072,-13.6246,144.083,160.585,-0.3241,0.1849,0.9278,171,4
0.0099,0.0606,-13.6621,144.096,160.686,-0.1105,0.2872,0.9515,171,4
0.0101,0.1099,-13.6717,144.121,160.748,0.0918,-0.4913,0.8661,171,4
0.0045,0.1032,-13.6581,144.053,160.836,0.1115,-0.4471,0.8875,171,4
0.0054,0.0218,-13.2447,144.296,160.853,0.6599,-0.4663,0.5891,172,4
0.0049,0.043,-13.2303,144.286,160.866,0.2722,-0.6407,0.7179,172,4
0.0031,0.2336,-13.2181,144.251,160.891,0.2182,-0.5732,0.7898,172,4
0.0253,0.1194,-13.3792,143.999,160.093,0.3647,-0.4745,0.8012,173,4
0.0201,0.0906,-13.3399,143.936,160.185,-0.0917,-0.3908,0.9159,173,4
0.0221,0.0714,-13.3443,143.889,160.272,-0.3016,0.1755,0.9371,173,4
0.0158,0.0783,-13.3508,143.891,160.362,-0.3754,0.7395,0.5587,173,4
0.0178,0.2095,-13.387,143.947,160.405,-0.2329,0.2873,0.9291,173,4
0.0094,0.0695,-13.4473,144.013,160.596,-0.1861,0.2099,0.9599,173,4
0.0078,0.0556,-13.4642,144.035,160.661,-0.0838,0.1363,0.9871,173,4
0.0034,0.0897,-13.4714,144.046,160.716,-0.0346,0.0526,0.998,173,4
0.0034,0.1766,-13.4746,144.05,160.805,-0.0266,0.0611,0.9978,173,4
0.0058,0.0965,-13.2965,144.206,160.577,-0.0316,-0.3111,0.9499,174,4
0.0068,0.1386,-13.2613,144.347,161.058,-0.4653,0.2379,0.8526,175,4
0.0066,0.1164,-13.3258,144.38,161.176,-0.3991,0.0545,0.9153,175,4
0.0049,0.0714,-13.377,144.387,161.282,-0.1909,0.0098,0.9816,175,4
0.0037,0.052,-13.3934,144.384,161.352,-0.1868,0.031,0.9819,175,4
0.0028,0.052,-13.4059,144.386,161.402,-0.1217,0.0415,0.9917,175,4
0.0038,0.044,-13.411,144.389,161.454,-0.1442,0.0441,0.9886,175,4
0.0044,0.1253,-13.4246,144.39,161.497,-0.1407,-0.0085,0.99,175,4
0.0065,0.1279,-13.1754,144.447,161.695,0.1085,0.1327,0.9852,176,4
0.0065,0.0579,-13.1615,144.464,161.821,0.0407,0.0358,0.9985,176,4
0.0084,0.1467,-13.1436,144.463,161.882,-0.1756,0.1652,0.9705,176,4
0.0084,0.0575,-13.1705,144.471,162.025,0.03,0.0131,0.9995,176,4
0.0067,0.0956,-13.0316,143.45,159.905,0.5288,-0.4665,0.7091,177,4
0.0062,0.0939,-12.986,143.402,159.976,0.6771,-0.413,0.6091,177,4
0.0062,0.0702,-12.9241,143.361,160.034,0.8059,-0.3159,0.5006,177,4
0.0083,0.0451,-12.8658,143.345,160.072,0.8388,-0.4084,0.3601,177,4
0.0089,0.2055,-12.8311,143.318,160.096,0.9643,-0.2347,0.1223,177,4
