radius (m),length (m),x,y,z,axis_direction,,,branch,branch_order
0.0068,0.2357,-27.221,131.309,159.771,-0.5928,0.4869,0.6415,15,2
0.0147,0.0474,-27.1138,131.534,159.815,0.9226,-0.0303,-0.3847,16,2
0.0147,0.0883,-27.0701,131.533,159.797,0.6912,0.1853,-0.6985,16,2
0.0147,0.0888,-27.0066,131.55,159.737,0.6067,0.1562,-0.7794,16,2
0.0117,0.0961,-26.9506,131.569,159.67,0.5938,-0.0151,-0.8045,16,2
0.0117,0.0821,-26.8969,131.574,159.589,0.5892,-0.0476,-0.8066,16,2
0.0182,0.1372,-26.8344,131.562,159.528,0.4133,0.144,-0.8991,16,2
0.0093,0.0734,-26.7932,131.578,159.393,0.5483,0.2775,-0.7889,16,2
0.0092,0.081,-26.7573,131.598,159.331,0.6441,0.3208,-0.6944,16,2
0.0067,0.0992,-26.7123,131.628,159.266,0.7715,0.3792,-0.5109,16,2
0.0091,0.0708,-26.6452,131.671,159.205,0.7808,0.4526,-0.4308,16,2
0.0046,0.117,-26.586,131.698,159.177,0.8161,0.4867,-0.3117,16,2
0.0168,0.0803,-26.4795,131.745,159.146,0.7183,0.686,-0.1156,16,2
0.016,0.076,-26.4127,131.794,159.13,0.5049,0.8623,-0.0383,16,2
0.0136,0.075,-26.371,131.842,159.124,0.9728,0.1975,-0.1214,16,2
0.0157,0.0925,-26.3001,131.848,159.13,0.9554,-0.2939,-0.0284,16,2
0.0118,0.194,-26.215,131.814,159.144,0.9583,-0.2784,0.0637,16,2
0.0108,0.1377,-26.0415,131.777,159.174,0.7527,-0.1125,0.6487,16,2
0.0079,0.0577,-25.9351,131.76,159.26,0.7586,0.0914,0.6451,16,2
0.009,0.1228,-25.8912,131.771,159.298,0.7391,-0.0634,0.6706,16,2
0.0074,0.1168,-25.7968,131.764,159.376,0.6965,0.0084,0.7175,16,2
0.0072,0.0484,-25.7174,131.764,159.462,0.715,0.0946,0.6927,16,2
0.0071,0.0553,-25.6805,131.768,159.494,0.6181,-0.021,0.7858,16,2
0.0069,0.1168,-25.6462,131.769,159.537,0.6295,-0.0659,0.7742,16,2
0.0104,0.0457,-25.5663,131.761,159.623,0.5549,-0.0301,0.8314,16,2
0.0065,0.1317,-25.5466,131.759,159.665,0.5594,0.0597,0.8267,16,2
0.0084,0.0885,-25.4723,131.767,159.774,0.3819,0.0354,0.9235,16,2
0.0058,0.1417,-25.4311,131.769,159.853,0.3911,0.0435,0.9193,16,2
0.0171,0.0991,-25.3645,131.783,159.977,0.2878,0.2174,0.9327,16,2
0.0108,0.0898,-27.1055,131.699,159.933,-0.6343,0.4308,0.6419,17,2
0.0109,0.0764,-27.1634,131.739,159.989,-0.6024,0.3836,0.7,17,2
0.0169,0.0755,-27.2212,131.759,160.044,-0.264,0.4009,0.8773,17,2
0.0154,0.1015,-27.2631,131.784,160.103,-0.3329,0.3601,0.8715,17,2
0.0126,0.0637,-27.3059,131.814,160.189,-0.426,0.1801,0.8866,17,2
0.0132,0.1484,-27.3332,131.826,160.245,-0.3551,0.1535,0.9221,17,2
0.0116,0.1326,-27.387,131.85,160.381,-0.3053,0.1547,0.9396,17,2
0.0089,0.06,-27.4383,131.883,160.502,-0.3116,0.0119,0.9501,17,2
0.0086,0.1292,-27.4484,131.881,160.562,-0.2474,0.145,0.958,17,2
0.0113,0.0853,-27.4722,131.902,160.687,-0.2011,0.0482,0.9784,17,2
0.0127,0.1738,-27.495,131.895,160.772,-0.1242,0.1626,0.9788,17,2
0.0096,0.1036,-27.5398,131.931,160.939,-0.0788,0.1534,0.985,17,2
0.0063,0.1151,-27.5437,131.942,161.042,-0.0782,0.0836,0.9934,17,2
0.0083,0.0543,-27.5481,131.949,161.156,-0.0617,0.1222,0.9906,17,2
0.0053,0.1025,-27.557,131.959,161.21,-0.0734,0.1078,0.9915,17,2
0.0048,0.0578,-27.5649,131.971,161.311,-0.1234,0.0903,0.9882,17,2
0.0093,0.0821,-27.5741,131.984,161.368,-0.0828,0.0526,0.9952,17,2
0.0088,0.0563,-27.5815,131.99,161.449,-0.0587,0.1191,0.9912,17,2
0.017,0.1566,-27.0828,131.746,159.916,-0.0969,0.9952,0.0134,18,2
0.0123,0.1099,-27.0847,131.939,159.928,-0.9225,0.3628,-0.1315,18,2
0.0076,0.0847,-27.1656,132.011,159.915,-0.7605,0.4714,0.4465,18,2
0.0134,0.1114,-27.2338,132.049,159.952,-0.5265,0.3907,0.7551,18,2
0.01,0.1565,-27.2892,132.096,160.036,-0.3347,0.3571,0.872,18,2
0.0107,0.11,-27.341,132.15,160.173,-0.2554,0.3194,0.9125,18,2
0.0162,0.0533,-27.3639,132.201,160.274,-0.253,0.0125,0.9674,18,2
0.0092,0.1147,-27.3843,132.204,160.323,-0.2305,0.2268,0.9463,18,2
0.0088,0.0653,-27.4125,132.23,160.432,-0.1998,0.2348,0.9513,18,2
0.0081,0.0825,-27.4254,132.246,160.494,-0.2281,0.243,0.9428,18,2
0.0085,0.0562,-27.4414,132.264,160.573,-0.2757,0.2556,0.9266,18,2
0.0146,0.3195,-27.4587,132.296,160.621,-0.1352,0.1959,0.9713,18,2
0.0059,0.1902,-27.4951,132.348,160.934,-0.0804,0.1786,0.9806,18,2
0.0053,0.0299,-27.5118,132.384,161.12,-0.086,0.2367,0.9678,18,2
0.0068,0.1564,-27.5106,132.387,161.15,-0.1326,0.3113,0.941,18,2
0.0064,0.0504,-27.5253,132.438,161.298,-0.087,0.1681,0.9819,18,2
0.004,0.068,-27.5292,132.443,161.348,0.0084,0.2023,0.9793,18,2
0.0044,0.1092,-27.5265,132.454,161.415,-0.023,0.263,0.9645,18,2
0.0029,0.0955,-27.5286,132.483,161.521,-0.0358,0.2539,0.9666,18,2
0.0095,0.0837,-26.7249,132.339,160.035,0.3189,0.9334,-0.1644,19,2
0.0095,0.0677,-26.6952,132.402,160.058,0.2016,0.9187,0.3397,19,2
0.0052,0.0898,-26.7008,132.461,160.089,0.0063,0.9295,0.3687,19,2
0.0049,0.0876,-26.7062,132.546,160.121,0.0032,0.8768,0.4809,19,2
0.0043,0.0788,-26.7092,132.625,160.159,0.0088,0.8215,0.5701,19,2
0.0065,0.0775,-26.7178,132.691,160.204,0.0586,0.8044,0.5912,19,2
0.0058,0.1999,-26.7066,132.758,160.244,0.0001,0.7301,0.6834,19,2
0.0045,0.0692,-26.7071,132.904,160.381,-0.0311,0.647,0.7618,19,2
0.0065,0.058,-26.7078,132.953,160.431,0.024,0.5615,0.8271,19,2
0.0073,0.0948,-26.7103,132.987,160.478,0.1458,0.5357,0.8317,19,2
0.0115,0.0586,-26.684,133.028,160.561,0.1718,0.5528,0.8154,19,2
0.0097,0.1084,-26.6762,133.061,160.609,0.1186,0.5085,0.8528,19,2
0.009,0.1258,-26.6716,133.117,160.703,0.172,0.326,0.9296,19,2
0.0253,0.1555,-27.0598,131.734,159.967,0.0007,0.4547,0.8907,20,2
0.023,0.0969,-27.0427,131.774,160.137,0.0144,0.7231,0.6906,20,2
0.0215,0.3072,-27.0731,131.826,160.223,0.0734,0.6516,0.755,20,2
0.0142,0.0227,-27.0406,132.027,160.453,0.0704,0.61,0.7893,20,2
0.0197,0.1712,-27.0072,132.056,160.46,0.1314,0.3865,0.9129,20,2
0.0175,0.0751,-26.9975,132.15,160.608,0.1439,0.3368,0.9305,20,2
0.0111,0.138,-27.0004,132.187,160.674,0.1341,0.4517,0.882,20,2
0.0097,0.084,-26.9906,132.249,160.797,0.1098,0.324,0.9397,20,2
0.0088,0.0567,-26.9801,132.275,160.877,0.1856,0.3754,0.9081,20,2
0.0112,0.0787,-26.9639,132.289,160.93,0.2159,0.3903,0.895,20,2
0.0088,0.0597,-26.9607,132.327,161.004,0.4133,0.2683,0.8702,20,2
0.0064,0.0734,-26.9393,132.35,161.058,0.6366,0.0973,0.7651,20,2
0.0109,0.0946,-26.8888,132.354,161.112,0.5774,0.0638,0.814,20,2
0.0066,0.048,-26.8324,132.364,161.187,0.4775,0.2671,0.837,20,2
0.006,0.0849,-26.9433,132.067,159.924,0.3257,0.2078,-0.9224,21,2
0.006,0.2126,-26.9157,132.085,159.846,0.7629,-0.3043,-0.5705,21,2
0.0037,0.1109,-26.908,132.089,160.005,0.5898,-0.0265,0.8071,22,2
0.0036,0.076,-26.8426,132.086,160.095,0.4407,0.0457,0.8965,22,2
0.0032,0.1453,-26.8083,132.09,160.163,0.4101,0.0046,0.912,22,2
0.0074,0.0885,-26.8577,132.14,160.013,0.9366,-0.0486,0.3471,23,2
0.0073,0.0601,-26.7748,132.135,160.044,0.7375,-0.0185,0.6751,23,2
0.0045,0.1226,-26.7269,132.132,160.081,0.6841,-0.0535,0.7274,23,2
0.0044,0.0691,-26.6433,132.125,160.17,0.6712,-0.0156,0.7411,23,2
0.0052,0.0742,-26.5924,132.122,160.218,0.5927,0.0633,0.803,23,2
0.0055,0.071,-26.549,132.128,160.278,0.5452,0.0451,0.8371,23,2
0.0043,0.1434,-26.5075,132.131,160.336,0.517,0.0372,0.8552,23,2
0.0027,0.0673,-26.4321,132.137,160.458,0.4762,0.0289,0.8788,23,2
0.0033,0.0957,-26.3999,132.139,160.517,0.4618,0.027,0.8866,23,2
0.0054,0.1421,-26.357,132.143,160.602,0.3695,0.0772,0.926,23,2
0.0036,0.0961,-26.7509,132.281,160.046,-0.7903,-0.0953,0.6052,24,2
0.0036,0.0813,-26.8269,132.272,160.105,-0.1049,0.5871,0.8027,24,2
0.0059,0.0832,-26.8417,132.321,160.168,-0.0836,0.5261,0.8463,24,2
0.006,0.0886,-26.8487,132.364,160.239,-0.0852,0.5384,0.8384,24,2
0.0032,0.0629,-26.8497,132.411,160.315,-0.1483,0.5396,0.8288,24,2
0.0055,0.0675,-26.8647,132.444,160.367,-0.1331,0.5382,0.8322,24,2
0.0037,0.0665,-26.8715,132.481,160.423,-0.0797,0.4888,0.8688,24,2
0.0035,0.1175,-26.8769,132.514,160.48,-0.0338,0.4671,0.8835,24,2
0.0039,0.0989,-26.7222,132.273,160.04,0.787,-0.5461,0.287,25,2
0.0038,0.0785,-26.6444,132.219,160.069,0.8497,-0.0001,0.5273,25,2
0.0035,0.0595,-26.5776,132.218,160.11,0.8484,0.058,0.5262,25,2
0.0033,0.133,-26.5259,132.221,160.14,0.7865,0.0219,0.6172,25,2
0.0027,0.151,-26.7786,132.266,160.029,-0.0422,0.5005,0.8647,26,2
0.0026,0.0552,-26.7838,132.342,160.159,-0.1211,0.433,0.8932,26,2
0.0025,0.0993,-26.7901,132.365,160.209,-0.1333,0.4961,0.858,26,2
0.0047,0.0769,-26.7256,132.343,160.067,-0.0121,0.4708,0.8822,27,2
0.0043,0.056,-26.7305,132.38,160.135,0.0402,0.4544,0.8899,27,2
0.0057,0.048,-26.7309,132.405,160.186,0.1897,0.4869,0.8526,27,2
0.007,0.0706,-26.7205,132.426,160.227,0.1075,0.4698,0.8762,27,2
0.0039,0.0631,-26.7217,132.462,160.289,0.1378,0.4448,0.8849,27,2
0.0039,0.0614,-26.7121,132.489,160.346,0.0955,0.4837,0.87,27,2
0.0059,0.0639,-26.7127,132.52,160.399,0.1186,0.4927,0.8621,27,2
0.0056,0.0761,-26.6947,132.549,160.455,0.0973,0.5323,0.8409,27,2
0.0051,0.0849,-26.6886,132.588,160.52,0.1189,0.5131,0.8501,27,2
0.004,0.057,-26.6717,132.63,160.592,0.0614,0.4634,0.884,27,2
0.0043,0.09,-26.6713,132.658,160.642,0.0853,0.3416,0.936,27,2
0.004,0.0683,-26.6611,132.689,160.727,-0.0058,0.3399,0.9405,27,2
0.0112,0.0213,-26.4304,132.58,160.367,0.5574,-0.1287,-0.8202,28,2
0.0112,0.0843,-26.4283,132.573,160.35,0.2018,-0.2421,0.949,28,2
0.0045,0.0642,-26.3983,132.537,160.421,0.3722,-0.2013,0.906,28,2
0.0051,0.1485,-26.3729,132.523,160.479,0.3161,-0.1819,0.9311,28,2
0.0036,0.0609,-26.5371,132.51,160.195,0.9592,0.0435,0.2795,29,2
0.0037,0.0965,-26.4775,132.514,160.208,0.9423,0.0127,0.3345,29,2
0.0037,0.2151,-26.3858,132.516,160.239,0.8912,0.0479,0.4511,29,2
0.004,0.3154,-26.5009,132.525,160.234,0.4369,-0.2807,0.8546,30,2
0.0053,0.0604,-26.3108,132.671,160.663,-0.2689,0.7009,0.6607,31,2
0.0053,0.0734,-26.3315,132.708,160.703,-0.2469,0.1967,0.9489,31,2
0.0046,0.1148,-26.354,132.725,160.77,-0.2357,0.3674,0.8997,31,2
0.0053,0.1507,-26.3808,132.771,160.873,-0.2094,0.2902,0.9338,31,2
0.0031,0.2204,-26.3495,132.643,160.565,-0.3557,-0.2252,0.9071,32,2
0.0037,0.0774,-26.3237,132.648,160.614,0.5624,-0.2052,0.801,33,2
0.0037,0.0982,-26.2802,132.632,160.676,0.4094,-0.2278,0.8835,33,2
0.0046,0.0525,-26.2345,132.609,160.76,0.4184,-0.1991,0.8861,33,2
0.0044,0.0504,-26.2192,132.6,160.81,0.4047,-0.2098,0.8901,33,2
0.0033,0.0587,-26.195,132.588,160.853,0.353,-0.2037,0.9132,33,2
0.0047,0.1287,-26.1759,132.576,160.908,0.4035,-0.1972,0.8935,33,2
0.0123,0.1188,-26.626,129.585,159.66,-0.5376,-0.7071,-0.4594,34,2
0.0123,0.0773,-26.6899,129.501,159.605,-0.5271,-0.8181,0.2299,34,2
0.0135,0.1189,-26.7323,129.438,159.621,-0.4857,-0.7019,0.521,34,2
0.017,0.1367,-26.8279,129.336,159.672,0.0055,-0.5017,0.865,34,2
0.0127,0.0624,-26.8457,129.261,159.781,-0.2294,-0.5478,0.8045,34,2
0.0105,0.0824,-26.8599,129.223,159.829,-0.1688,-0.5319,0.8298,34,2
0.0082,0.0647,-26.871,129.177,159.896,-0.1454,-0.3993,0.9052,34,2
0.0094,0.0699,-26.8767,129.152,159.957,-0.2835,-0.3887,0.8767,34,2
0.011,0.0653,-26.8951,129.131,160.022,-0.5883,-0.3698,0.7191,34,2
0.0091,0.0847,-26.926,129.092,160.073,-0.7293,-0.2179,0.6486,34,2
0.0074,0.1036,-26.9936,129.072,160.123,-0.5566,-0.1412,0.8187,34,2
0.0071,0.0564,-27.051,129.057,160.208,-0.5516,-0.1208,0.8253,34,2
0.0106,0.1222,-27.0871,129.058,160.253,-0.5029,-0.0915,0.8595,34,2
0.0073,0.1072,-27.1485,129.041,160.357,-0.4339,-0.0824,0.8972,34,2
0.006,0.0723,-27.1926,129.027,160.455,-0.4587,-0.011,0.8885,34,2
0.005,0.1271,-27.229,129.023,160.518,-0.3141,0.0275,0.949,34,2
0.004,0.068,-27.2685,129.024,160.639,-0.269,-0.0017,0.9631,34,2
0.0053,0.0604,-27.2887,129.025,160.704,-0.1651,-0.0033,0.9863,34,2
0.0098,0.0527,-27.3101,129.017,160.765,0.0347,0.1429,0.9891,34,2
0.0044,0.0708,-27.3097,129.036,160.815,-0.2074,0.1267,0.97,34,2
0.0044,0.1264,-27.3259,129.046,160.883,-0.1111,0.1223,0.9862,34,2
0.0073,0.0833,-27.348,129.056,161.009,-0.0838,0.2273,0.9702,34,2
0.0137,0.1216,-26.3958,129.469,159.656,0.2271,-0.8511,0.4733,35,2
0.012,0.0839,-26.3675,129.363,159.711,0.1044,-0.7532,0.6495,35,2
0.0105,0.096,-26.3603,129.3,159.766,0.1324,-0.7851,0.605,35,2
0.0153,0.0597,-26.3483,129.239,159.837,0.2713,-0.621,0.7353,35,2
0.0182,0.0768,-26.3353,129.171,159.867,0.3085,-0.3952,0.8652,35,2
0.0101,0.0557,-26.3046,129.149,159.936,0.3942,-0.5009,0.7705,35,2
0.0097,0.0855,-26.2809,129.122,159.978,0.3965,-0.4856,0.7791,35,2
0.0093,0.0849,-26.2459,129.079,160.044,0.3248,-0.4795,0.8152,35,2
0.0094,0.1386,-26.2069,129.036,160.119,-0.4603,-0.4732,0.7511,35,2
0.0162,0.3268,-26.2461,128.957,160.232,-0.4467,-0.2636,0.8549,35,2
0.0145,0.1125,-26.3698,128.861,160.516,-0.3369,-0.2493,0.9079,35,2
0.0025,0.1364,-26.3876,128.828,160.619,-0.0526,-0.1336,0.9896,35,2
0.0042,0.3775,-26.3604,129.431,159.622,0.3075,-0.4417,-0.8428,36,2
0.0076,0.2184,-26.1813,129.421,159.708,0.7823,0.6118,-0.1169,37,2
0.0129,0.1257,-26.1205,129.382,159.739,0.3025,0.5859,0.7518,38,2
0.0173,0.1266,-26.081,129.448,159.851,0.0085,0.91,0.4145,38,2
0.0101,0.0859,-26.1543,129.557,159.911,0.036,0.5559,0.8305,38,2
0.01,0.0665,-26.15,129.606,159.982,-0.0636,0.5198,0.8519,38,2
0.0119,0.1632,-26.1522,129.637,160.032,0.9596,0.2404,0.1461,38,2
0.0208,0.0906,-26.0008,129.665,160.064,0.2776,0.5004,0.8201,38,2
0.0119,0.0869,-25.9707,129.719,160.133,0.2034,0.4324,0.8785,38,2
0.012,0.0575,-25.9527,129.757,160.209,0.179,0.3421,0.9225,38,2
0.0128,0.1095,-25.942,129.777,160.262,0.1348,0.3302,0.9342,38,2
0.0124,0.1074,-25.9266,129.813,160.364,0.1102,0.2937,0.9495,38,2
0.012,0.0873,-25.9141,129.846,160.466,0.1232,0.2269,0.9661,38,2
0.011,0.0682,-25.9021,129.867,160.55,0.1096,0.1928,0.9751,38,2
0.0126,0.0663,-25.8967,129.879,160.617,0.1194,0.1859,0.9753,38,2
0.0082,0.0488,-25.8842,129.895,160.68,0.2238,0.1821,0.9575,38,2
0.0078,0.061,-25.8697,129.901,160.727,0.015,0.2851,0.9584,38,2
0.011,0.0674,-25.8723,129.923,160.786,0.1874,0.1485,0.971,38,2
0.0075,0.1684,-25.8688,129.928,160.853,0.1492,0.1007,0.9837,38,2
0.007,0.0728,-25.8494,129.946,161.019,0.1311,0.0983,0.9865,38,2
0.0067,0.0698,-25.8398,129.953,161.091,0.079,0.0855,0.9932,38,2
0.0127,0.2482,-25.8223,129.967,161.158,0.1025,0.0846,0.9911,38,2
0.0099,0.0643,-25.821,129.981,161.408,0.1244,0.0633,0.9902,38,2
0.0137,0.0924,-25.8005,129.979,161.48,-0.3277,0.4009,0.8555,38,2
0.0051,0.0891,-25.8477,130.028,161.548,-0.4016,0.1939,0.895,38,2
0.0087,0.1107,-25.7826,129.242,159.724,0.3754,-0.0945,0.9221,39,2
0.0118,0.295,-25.7508,129.202,159.822,0.8767,-0.3356,0.3446,39,2
0.0111,0.0409,-25.5105,129.076,159.921,0.7944,-0.5662,0.22,39,2
0.0114,0.1053,-25.4755,129.045,159.918,0.7512,-0.4587,0.4746,39,2
0.0064,0.1123,-25.3895,129.002,159.963,0.7208,-0.3635,0.5901,39,2
0.0062,0.0619,-25.3066,128.962,160.028,0.5912,-0.373,0.7151,39,2
0.0054,0.0878,-25.2627,128.944,160.07,0.477,-0.4265,0.7684,39,2
0.0044,0.1541,-25.2204,128.905,160.137,0.5335,-0.2943,0.793,39,2
0.006,0.1249,-25.1421,128.853,160.26,0.4733,-0.255,0.8432,39,2
0.0049,0.0608,-25.0805,128.822,160.364,0.4076,-0.3019,0.8618,39,2
0.0041,0.0892,-25.0587,128.8,160.417,0.4007,-0.1738,0.8995,39,2
0.0113,0.0612,-25.0169,128.788,160.496,0.2591,-0.0272,0.9655,39,2
0.0039,0.0851,-25.0047,128.77,160.554,0.3235,-0.1142,0.9393,39,2
0.0035,0.0743,-24.977,128.76,160.634,0.3066,-0.1229,0.9439,39,2
0.0034,0.0717,-24.955,128.752,160.705,0.2376,-0.2175,0.9467,39,2
0.0052,0.0984,-24.9434,128.733,160.773,0.2612,-0.171,0.95,39,2
0.0175,0.0347,-25.1592,129.741,160.336,-0.1616,-0.4108,0.8973,40,2
0.0175,0.0779,-25.1737,129.734,160.364,-0.1531,0.2667,0.9515,40,2
0.0175,0.058,-25.1822,129.763,160.435,0.2509,0.2637,0.9314,40,2
0.0175,0.0983,-25.1717,129.775,160.491,0.2444,0.2481,0.9374,40,2
0.0175,0.1722,-25.143,129.802,160.581,0.2441,0.1365,0.9601,40,2
0.0175,0.1417,-25.104,129.825,160.747,0.1938,0.15,0.9695,40,2
0.0175,0.0658,-25.0591,129.848,160.881,0.1922,0.1131,0.9748,40,2
0.0175,0.1395,-25.0592,129.855,160.948,0.1952,0.133,0.9717,40,2
0.0175,0.0612,-25.0272,129.874,161.083,0.1353,0.1021,0.9855,40,2
0.0175,0.0626,-25.0279,129.877,161.144,0.0193,0.1592,0.9871,40,2
0.0175,0.3176,-25.0323,129.888,161.206,0.1798,0.0887,0.9797,40,2
0.0175,0.0278,-24.9677,129.918,161.515,0.2588,0.1018,0.9606,40,2
0.0175,0.0659,-24.9621,129.922,161.542,0.1386,0.1118,0.984,40,2
0.0175,0.0908,-24.9644,129.933,161.608,0.1042,0.0512,0.9932,40,2
0.0201,0.067,-25.7396,129.242,159.72,0.9902,-0.1323,-0.0458,41,2
0.0212,0.0817,-25.6627,129.243,159.71,0.7082,-0.3123,0.6332,41,2
0.0191,0.0611,-25.5931,129.21,159.753,0.515,-0.1797,0.8382,41,2
0.0184,0.2329,-25.5237,129.201,159.794,0.242,0.3107,0.9192,41,2
0.0118,0.1005,-25.449,129.271,160.002,0.3227,0.2099,0.923,41,2
0.0116,0.119,-25.4153,129.293,160.094,0.3274,0.0966,0.9399,41,2
0.0185,0.05,-25.35,129.302,160.202,0.1366,-0.1558,0.9783,41,2
0.0111,0.0979,-25.3605,129.309,160.254,0.2496,0.0552,0.9668,41,2
0.0155,0.0609,-25.3418,129.312,160.35,0.242,0.0387,0.9695,41,2
0.012,0.0837,-25.3233,129.318,160.408,0.212,0.0336,0.9767,41,2
0.0103,0.0519,-25.3038,129.322,160.49,0.2162,0.0116,0.9763,41,2
0.0098,0.0591,-25.282,129.331,160.539,0.1561,-0.033,0.9872,41,2
0.0095,0.0695,-25.2778,129.324,160.599,0.2323,0.0006,0.9726,41,2
0.0122,0.0526,-25.2665,129.323,160.667,0.1793,0.0046,0.9838,41,2
0.0088,0.0599,-25.2413,129.329,160.718,0.0392,0.0312,0.9987,41,2
0.0086,0.0484,-25.2463,129.328,160.779,0.1605,0.0223,0.9868,41,2
0.0081,0.0571,-25.2365,129.331,160.827,0.1408,0.0268,0.9897,41,2
0.0048,0.0888,-25.2272,129.333,160.883,0.1712,0.0521,0.9838,41,2
0.01,0.1343,-25.2193,129.331,160.971,0.146,-0.0208,0.9891,41,2
0.0094,0.0821,-25.2018,129.329,161.104,0.0639,0.0372,0.9973,41,2
0.0068,0.0639,-25.1929,129.333,161.186,0.0809,0.0154,0.9966,41,2
0.0053,0.0746,-25.1861,129.333,161.249,0.0858,0.0149,0.9962,41,2
0.0118,0.1517,-25.1877,129.331,161.324,0.0835,0.0337,0.9959,41,2
0.0029,0.1475,-25.5739,129.459,159.841,-0.3155,0.4045,0.8584,42,2
0.0025,0.073,-25.5178,129.481,159.858,-0.058,0.0593,0.9966,43,2
0.0031,0.3396,-25.5175,129.484,159.932,-0.1193,0.0596,0.9911,43,2
0.0069,0.1733,-25.4113,129.568,159.92,0.9016,0.2875,0.3233,44,2
0.0055,0.0932,-25.4024,129.595,159.948,-0.1617,0.7445,0.6478,45,2
0.0052,0.1017,-25.4201,129.667,160.005,-0.0935,0.6399,0.7628,45,2
0.0053,0.0424,-25.4294,129.732,160.083,-0.1152,0.6682,0.735,45,2
0.0046,0.0888,-25.4299,129.764,160.112,-0.0826,0.5659,0.8204,45,2
0.0051,0.101,-25.4413,129.814,160.185,-0.0327,0.5632,0.8257,45,2
0.0058,0.0829,-25.446,129.871,160.269,-0.0236,0.5501,0.8348,45,2
0.0052,0.0809,-25.4473,129.917,160.337,-0.0252,0.5064,0.862,45,2
0.0032,0.0936,-25.4467,129.96,160.406,0.0015,0.4965,0.868,45,2
0.0044,0.0644,-25.4434,130.008,160.487,-0.0429,0.457,0.8884,45,2
0.0037,0.1466,-25.4467,130.038,160.544,0.0029,0.3826,0.9239,45,2
0.0074,0.0688,-25.2805,129.686,160.179,-0.1395,-0.2991,0.944,46,2
0.0074,0.0978,-25.2978,129.661,160.242,-0.0838,-0.2525,0.964,46,2
0.0108,0.1039,-25.3103,129.632,160.335,-0.0559,-0.2705,0.9611,46,2
0.0097,0.1536,-25.2983,129.61,160.437,-0.0229,-0.2421,0.97,46,2
0.0085,0.1012,-25.3079,129.569,160.584,-0.1305,-0.2102,0.9689,46,2
0.0028,0.2451,-25.236,129.734,160.25,0.2087,0.8869,0.4121,47,2
0.0237,0.1321,-27.2553,128.588,159.536,-0.8912,0.1866,0.4135,48,2
0.0236,0.1043,-27.3546,128.619,159.594,-0.2995,0.5228,0.7981,48,2
0.0207,0.0686,-27.4219,128.717,159.665,-0.2638,0.0471,0.9634,48,2
0.0197,0.1148,-27.4322,128.722,159.734,-0.3322,-0.125,0.9349,48,2
0.0128,0.0778,-27.4663,128.697,159.842,-0.2226,-0.057,0.9733,48,2
0.0125,0.0817,-27.4819,128.693,159.918,-0.1954,-0.0306,0.9802,48,2
0.012,0.079,-27.4974,128.686,159.998,-0.1896,-0.0065,0.9818,48,2
0.0113,0.1273,-27.5125,128.684,160.076,-0.1626,0.0405,0.9859,48,2
0.0106,0.0671,-27.5327,128.689,160.201,-0.1487,0.033,0.9883,48,2
0.0101,0.1005,-27.5449,128.694,160.267,-0.1392,0.0459,0.9892,48,2
0.0192,0.1145,-27.5508,128.672,160.369,-0.0371,0.0758,0.9964,48,2
0.0079,0.0648,-27.567,128.696,160.483,-0.0221,-0.0213,0.9995,48,2
0.0154,0.1212,-27.5759,128.682,160.548,-0.1443,0.0982,0.9847,48,2
0.0132,0.0628,-27.596,128.702,160.667,-0.0863,-0.0027,0.9963,48,2
0.0032,0.092,-27.5881,128.711,160.729,-0.0382,0.0947,0.9948,48,2
0.01,0.057,-27.2123,128.531,159.543,-0.1447,-0.9723,-0.1834,49,2
0.0098,0.1551,-27.2379,128.47,159.544,-0.1004,-0.8417,-0.5305,49,2
0.0101,0.1832,-27.2575,128.34,159.462,-0.0211,-0.6832,-0.7299,49,2
0.02,0.3132,-27.2425,128.501,159.652,-0.7151,-0.6718,-0.1932,50,2
0.0192,0.0799,-27.4654,128.289,159.593,-0.7334,-0.6598,-0.1636,50,2
0.0185,0.081,-27.5217,128.233,159.58,-0.7881,-0.6006,-0.1344,50,2
0.0223,0.0704,-27.5903,128.191,159.568,-0.7771,-0.6244,-0.0791,50,2
0.0184,0.1222,-27.643,128.145,159.562,-0.6725,-0.7359,-0.0786,50,2
0.0262,0.2047,-27.7147,128.023,159.566,-0.9034,-0.1277,0.4094,50,2
0.0195,0.0668,-27.9586,127.909,159.628,-0.4755,0.1002,0.874,50,2
0.0123,0.113,-27.9826,128.006,159.666,-0.6198,0.2164,0.7543,50,2
0.0116,0.103,-28.0453,128.03,159.758,-0.6319,0.092,0.7696,50,2
0.0133,0.0584,-28.1184,128.048,159.831,-0.5267,0.0892,0.8453,50,2
0.0105,0.0684,-28.1476,128.05,159.882,-0.4668,0.0965,0.8791,50,2
0.01,0.0661,-28.1797,128.057,159.942,-0.4394,0.0876,0.894,50,2
0.0094,0.0736,-28.208,128.061,160.001,-0.421,0.099,0.9016,50,2
0.0088,0.0584,-28.2376,128.065,160.068,-0.4594,-0.0311,0.8877,50,2
0.017,0.2015,-28.2448,128.042,160.132,-0.6963,-0.2774,0.662,50,2
0.0087,0.0842,-28.4032,128.009,160.258,-0.5874,-0.2149,0.7802,50,2
0.0052,0.0547,-28.4603,127.992,160.319,-0.5064,-0.1684,0.8457,50,2
0.0049,0.0671,-28.487,127.981,160.366,-0.5213,-0.1303,0.8434,50,2
0.0051,0.0925,-28.5237,127.97,160.421,-0.4623,-0.0231,0.8864,50,2
