radius (m),length (m),x,y,z,a,b,c,branch,branch_order
0.0142,0.1253,-9.0411,139.065,161.007,-0.5917,-0.1888,0.7838,126,2
0.0062,0.0733,-9.1149,139.026,161.101,-0.4565,-0.2572,0.8518,126,2
0.0056,0.094,-9.1524,139.006,161.161,-0.3893,-0.2338,0.891,126,2
0.0047,0.1083,-9.188,138.984,161.246,-0.3716,-0.188,0.9092,126,2
0.006,0.1522,-9.2273,138.968,161.345,-0.3629,-0.1643,0.9172,126,2
0.007,0.3291,-8.6175,139.605,160.573,-0.7112,-0.244,-0.6593,127,2
0.0064,0.0812,-8.8516,139.524,160.356,-0.3172,-0.2763,-0.9072,127,2
0.0155,0.0916,-8.886,139.515,160.279,-0.4177,-0.4929,-0.7633,127,2
0.0098,0.1883,-8.9295,139.482,160.204,-0.3829,-0.4862,-0.7855,127,2
0.0369,0.201,-8.5704,139.27,160.595,0.2621,-0.8272,-0.497,128,2
0.036,0.0802,-8.529,139.112,160.506,0.1423,-0.7141,0.6855,128,2
0.0232,0.2926,-8.5645,139.027,160.561,0.442,-0.7415,0.5047,128,2
0.0141,0.1166,-8.4651,138.8,160.717,0.3859,-0.5911,0.7083,128,2
0.0102,0.0804,-8.417,138.731,160.798,0.3676,-0.5016,0.7831,128,2
0.0062,0.1046,-8.3864,138.679,160.855,0.4346,-0.3742,0.8192,128,2
0.0048,0.09,-8.342,138.639,160.941,0.3866,-0.2892,0.8757,128,2
0.0041,0.3216,-8.5671,139.243,160.632,0.6393,-0.7562,-0.1395,129,2
0.0041,0.3237,-8.3615,139,160.588,0.648,-0.3878,0.6555,129,2
0.0113,0.226,-8.617,139.159,160.781,-0.6053,-0.1375,0.7841,130,2
0.0109,0.0737,-8.7538,139.128,160.958,-0.4014,-0.3572,0.8434,130,2
0.0137,0.2154,-8.7984,139.097,161.015,-0.2015,-0.3669,0.9082,130,2
0.0091,0.0834,-8.8438,139.025,161.212,-0.171,-0.3516,0.9204,130,2
0.0183,0.1088,-8.8767,138.99,161.286,-0.0527,-0.3729,0.9264,130,2
0.0212,0.0787,-8.8484,138.945,161.404,-0.4472,-0.4945,0.7453,130,2
0.0065,0.1056,-8.8768,138.923,161.481,-0.0795,-0.7147,0.6949,130,2
0.0055,0.0672,-8.8855,138.845,161.552,-0.057,-0.6594,0.7496,130,2
0.0028,0.0696,-8.8877,138.798,161.601,-0.0746,-0.6129,0.7867,130,2
0.0033,0.1069,-8.8928,138.753,161.654,-0.0783,-0.5072,0.8583,130,2
0.0041,0.0095,-8.6287,138.959,160.883,0.0218,-0.9841,0.1765,131,2
0.0041,0.0785,-8.6293,138.947,160.879,0.0189,-0.9259,0.3773,131,2
0.0055,0.0514,-8.6295,138.874,160.907,0.0087,-0.8864,0.4629,131,2
0.0053,0.0557,-8.6292,138.828,160.931,-0.0424,-0.8876,0.4586,131,2
0.0062,0.0941,-8.6333,138.778,160.956,-0.0085,-0.7867,0.6172,131,2
0.0047,0.113,-8.6339,138.704,161.013,0.0694,-0.7891,0.6103,131,2
0.0066,0.0969,-8.621,138.609,161.077,0.0777,-0.6488,0.757,131,2
0.0041,0.0765,-8.6232,138.55,161.154,0.0788,-0.6466,0.7587,131,2
0.0046,0.0614,-8.618,138.499,161.212,0.0985,-0.5702,0.8156,131,2
0.0041,0.1127,-8.6104,138.461,161.26,0.0956,-0.4784,0.8729,131,2
0.007,0.1643,-8.6344,138.948,160.955,-0.0277,-0.7358,0.6766,132,2
0.0042,0.0531,-8.6371,138.823,161.063,-0.0056,-0.6913,0.7226,132,2
0.0043,0.0514,-8.6383,138.787,161.101,0.0223,-0.6488,0.7607,132,2
0.0035,0.0927,-8.6351,138.753,161.139,0.0752,-0.6057,0.7921,132,2
0.0043,0.0669,-8.6281,138.697,161.213,0.0661,-0.5555,0.8289,132,2
0.0038,0.0811,-8.6249,138.66,161.269,0.0833,-0.577,0.8125,132,2
0.0021,0.1805,-8.6212,138.613,161.335,0.1362,-0.5004,0.855,132,2
0.0035,0.1602,-8.6171,138.882,161.173,0.7223,-0.1588,0.6731,133,2
0.003,0.0739,-8.504,138.856,161.283,0.6526,-0.2008,0.7306,133,2
0.003,0.1089,-8.4842,138.84,161.355,0.5344,0.1351,0.8344,133,2
0.0038,0.2096,-8.622,138.819,161.295,-0.1884,-0.783,0.5928,134,2
0.0037,0.0923,-8.6209,138.796,161.452,0.1273,-0.8044,0.5802,135,2
0.0037,0.1075,-8.6054,138.717,161.5,0.0449,-0.7106,0.7021,135,2
0.0037,0.1346,-8.6001,138.639,161.574,0.0733,-0.6337,0.7701,135,2
0.0086,0.1575,-8.646,138.759,161.55,-0.6516,-0.4745,0.5919,136,2
0.0078,0.2441,-8.5959,138.742,161.697,-0.0078,0.8179,-0.5753,137,2
0.0077,0.0965,-8.607,138.94,161.552,0.3195,0.402,-0.8581,137,2
0.0059,0.046,-8.5937,138.972,161.46,0.2711,0.4881,-0.8296,137,2
0.0077,0.1148,-8.5788,138.999,161.425,0.3012,0.5007,-0.8115,137,2
0.0077,0.0443,-8.5569,139.069,161.331,0.7105,0.6953,-0.1085,137,2
0.0077,0.2127,-8.4882,139.09,161.312,0.3414,0.9053,0.2527,137,2
0.0077,0.0053,-8.4245,139.397,161.383,0.0261,-0.1449,0.9891,137,2
0.0084,0.1628,-8.4246,139.405,161.389,0.024,-0.073,0.997,137,2
0.0077,0.3318,-8.429,139.372,161.552,0.0927,-0.0225,0.9954,137,2
0.0076,0.0462,-8.4028,139.36,161.882,0.0555,-0.1031,0.9931,137,2
0.0073,0.1463,-8.4072,139.345,161.928,0.2364,-0.0769,0.9686,137,2
0.0072,0.4113,-8.383,139.327,162.07,0.1212,-0.1471,0.9817,137,2
0.0072,0.1423,-8.346,139.262,162.474,0.0167,-0.0216,0.9996,137,2
0.0068,0.03,-8.3295,139.251,162.617,-0.1654,-0.2628,0.9506,137,2
0.0059,0.0964,-8.3328,139.244,162.645,0.0813,-0.1684,0.9824,137,2
0.0059,0.0443,-8.323,139.231,162.741,-0.0147,-0.222,0.9749,137,2
0.0059,0.0335,-8.3226,139.221,162.784,0.0915,-0.2827,0.9548,137,2
0.0068,0.0609,-8.324,139.211,162.816,0.1312,-0.1047,0.9858,137,2
0.0059,0.065,-8.3163,139.202,162.876,-0.0226,-0.1877,0.982,137,2
0.0059,0.0779,-8.3169,139.188,162.939,-0.0379,-0.1756,0.9837,137,2
0.0059,0.0685,-8.3199,139.175,163.016,-0.0438,-0.1174,0.9921,137,2
0.0038,0.2045,-8.5997,138.721,161.748,0.0141,-0.8389,0.5441,138,2
0.003,0.1683,-8.583,138.662,161.995,-0.2913,-0.5108,0.8089,139,2
0.0277,0.0519,-8.7116,141.846,160.355,-0.7891,-0.0299,0.6136,140,2
0.0241,0.2263,-8.7907,141.853,160.39,0.0197,-0.2073,0.9781,140,2
0.0405,0.5512,-8.7336,141.828,160.602,0.3713,-0.5745,0.7294,140,2
0.0104,0.0567,-8.5832,141.551,161.025,0.1902,-0.2549,0.9481,140,2
0.0142,0.2263,-8.5953,142.168,160.576,-0.4068,-0.4894,0.7714,141,2
0.0132,0.1638,-8.5663,142.167,160.53,0.7361,0.0226,0.6765,142,2
0.0079,0.144,-8.4305,142.197,160.645,0.3407,-0.3392,0.8768,142,2
0.0104,0.1468,-8.3863,142.123,160.774,-0.5586,0.2046,0.8038,142,2
0.0027,0.0512,-8.6185,142.287,160.594,-0.8729,0.2172,0.4368,143,2
0.0027,0.0988,-8.6632,142.298,160.616,-0.2998,0.0666,0.9517,143,2
0.0025,0.1199,-8.693,142.305,160.71,-0.2795,0.062,0.9581,143,2
0.0213,0.0548,-8.5952,142.317,160.569,-0.8357,0.5463,0.0559,144,2
0.0213,0.118,-8.641,142.347,160.572,-0.2727,0.5871,0.7622,144,2
0.0238,0.1348,-8.6712,142.418,160.661,-0.4568,0.7541,0.4719,144,2
0.0263,0.1354,-8.7216,142.521,160.756,-0.6746,0.7091,0.2052,144,2
0.028,0.096,-8.8152,142.612,160.787,-0.8151,0.5146,0.266,144,2
0.0254,0.1379,-8.8916,142.697,160.806,-0.6773,0.173,0.715,144,2
0.0148,0.0699,-8.9804,142.736,160.904,-0.4124,0.1632,0.8963,144,2
0.0144,0.1625,-9.0124,142.75,160.965,-0.3608,0.1416,0.9218,144,2
0.0109,0.1168,-9.0714,142.774,161.115,-0.2884,0.1321,0.9484,144,2
0.0134,0.1369,-9.1048,142.788,161.225,-0.2074,0.1533,0.9662,144,2
0.0128,0.107,-9.1343,142.808,161.358,-0.1858,0.1495,0.9711,144,2
0.0123,0.0633,-9.1556,142.825,161.461,-0.1556,0.1228,0.9802,144,2
0.0119,0.0875,-9.1646,142.834,161.523,-0.1907,0.1073,0.9758,144,2
0.0114,0.066,-9.1834,142.845,161.608,-0.1354,0.1159,0.984,144,2
0.0121,0.0716,-9.1912,142.85,161.674,-0.1454,0.0983,0.9845,144,2
0.0106,0.0694,-9.203,142.859,161.744,-0.1198,0.1201,0.9855,144,2
0.0101,0.0621,-9.2124,142.867,161.812,-0.0779,0.0984,0.9921,144,2
0.0167,0.1105,-9.228,142.9,161.871,-0.0611,0.0887,0.9942,144,2
0.0072,0.1133,-9.2327,142.896,161.981,-0.0317,-0.0064,0.9995,144,2
0.008,0.0557,-9.2412,142.905,162.094,-0.011,-0.0203,0.9997,144,2
0.0111,0.0488,-9.2378,142.895,162.151,-0.0331,0.0909,0.9953,144,2
0.0083,0.0902,-9.2413,142.902,162.199,-0.0253,0.0925,0.9954,144,2
0.006,0.1338,-9.2478,142.92,162.288,0.0146,0.0546,0.9984,144,2
0.0052,0.0907,-9.2437,142.922,162.423,-0.0181,0.157,0.9874,144,2
0.006,0.053,-9.2424,142.932,162.513,-0.0754,0.1713,0.9823,144,2
0.0103,0.0857,-9.2362,142.949,162.567,-0.3201,0.2469,0.9146,144,2
0.0063,0.075,-9.2684,142.96,162.645,-0.4672,0.2383,0.8514,144,2
0.0027,0.1347,-9.3033,142.984,162.708,-0.2603,0.2193,0.9403,144,2
0.0117,0.1462,-8.5445,142.393,160.537,-0.0881,0.8789,-0.4687,145,2
0.0153,0.1509,-8.566,142.542,160.483,0.1588,0.6109,-0.7756,145,2
0.0153,0.1835,-8.545,142.641,160.368,0.141,0.3239,-0.9355,145,2
0.0187,0.1467,-8.4852,142.679,160.181,-0.2695,0.2406,-0.9325,145,2
0.017,0.0898,-8.5043,142.695,160.044,0.0636,0.0755,-0.9951,145,2
0.0082,0.0824,-8.4913,142.721,159.951,0.0801,-0.1802,-0.9804,145,2
0.0128,0.1224,-8.4848,142.685,159.868,-0.0186,0.1317,-0.9911,145,2
0.0059,0.1291,-8.4474,142.577,160.602,0.4472,-0.0054,0.8944,146,2
0.0082,0.1625,-8.4035,142.58,160.728,0.6187,0.1292,0.775,146,2
0.0061,0.0507,-8.3242,142.611,160.864,0.448,0.0404,0.8931,146,2
0.0047,0.1307,-8.3041,142.609,160.911,0.4771,0.0132,0.8787,146,2
0.0066,0.2705,-8.2592,142.605,161.039,0.5849,0.049,0.8096,146,2
0.0032,0.0353,-8.1113,142.615,161.262,0.3669,0.0211,0.93,146,2
0.0034,0.1505,-8.0931,142.615,161.293,0.2945,0.0055,0.9556,146,2
0.0214,0.1492,-8.15,143.132,161.497,-0.0793,0.7716,-0.6312,147,2
0.0204,0.0771,-8.1796,143.241,161.387,-0.6932,0.3867,0.6083,147,2
0.0181,0.351,-8.1997,143.25,161.432,-0.2442,-0.3229,-0.9144,147,2
0.0164,0.0248,-8.2819,143.151,161.098,0.7261,0.3671,0.5815,147,2
0.0095,0.0865,-8.2614,143.163,161.106,0.688,0.5038,0.5223,147,2
0.0075,0.103,-8.1962,143.206,161.145,0.7121,0.4644,0.5266,147,2
0.0089,0.1577,-8.1249,143.264,161.193,0.7172,0.4556,0.5272,147,2
0.0186,0.135,-8.4249,142.751,160.617,0.1355,0.9888,0.0633,148,2
0.018,0.0822,-8.4083,142.884,160.625,0.1375,0.9895,0.0455,148,2
0.0183,0.0802,-8.3984,142.966,160.633,0.1737,0.9829,-0.0602,148,2
0.0165,0.0783,-8.3813,143.045,160.628,0.0691,0.9948,-0.0754,148,2
0.0164,0.1024,-8.3775,143.125,160.614,0.0505,0.9792,0.1968,148,2
0.0164,0.1401,-8.4166,143.266,160.63,0.3717,0.4663,0.8027,148,2
0.016,0.2019,-8.3949,143.373,160.721,-0.1724,0.3572,0.918,148,2
0.015,0.1645,-8.4307,143.421,160.915,-0.3189,0.3346,0.8868,148,2
0.0096,0.0651,-8.4956,143.444,161.068,-0.2492,0.3161,0.9154,148,2
0.0154,0.1154,-8.5242,143.466,161.128,-0.0091,0.3233,0.9462,148,2
0.0146,0.2311,-8.5151,143.478,161.244,-0.1596,0.2153,0.9634,148,2
0.0144,0.087,-8.5648,143.551,161.461,-0.204,0.1421,0.9686,148,2
0.0136,0.2205,-8.5611,143.548,161.549,-0.0809,0.1617,0.9835,148,2
0.0128,0.1305,-8.5903,143.607,161.764,-0.1487,0.0326,0.9883,148,2
0.0072,0.0996,-8.5967,143.616,161.892,-0.0055,0.0771,0.997,148,2
0.0068,0.0683,-8.599,143.63,161.991,-0.0031,0.0729,0.9973,148,2
0.0092,0.0646,-8.5924,143.629,162.06,-0.0385,0.1102,0.9932,148,2
0.0101,0.0942,-8.5997,143.631,162.126,0.062,0.1909,0.9797,148,2
0.0059,0.1046,-8.6052,143.656,162.217,-0.0319,0.0992,0.9946,148,2
0.0094,0.1297,-8.595,143.663,162.322,-0.0625,0.013,0.998,148,2
0.0072,0.1127,-8.6055,143.667,162.451,-0.0511,0.1069,0.993,148,2
0.0109,0.1077,-8.4055,142.737,160.66,0.0967,-0.2959,0.9503,149,2
0.0094,0.1677,-8.3951,142.705,160.762,-0.1024,-0.1373,0.9852,149,2
0.0167,0.2687,-8.4431,142.649,160.962,0.5395,0.3072,0.7839,149,2
0.0037,0.1385,-8.2621,142.711,161.156,-0.1371,0.452,-0.8814,149,2
0.0069,0.1194,-8.2817,142.888,160.956,0.7078,0.1041,0.6987,150,2
0.0075,0.1766,-8.2019,142.901,161.045,0.7665,0.1151,0.6318,150,2
0.0097,0.104,-8.0461,142.896,161.175,0.1005,0.6346,0.7663,150,2
0.0105,0.1402,-7.9943,142.908,161.224,0.6148,0.0248,0.7883,150,2
0.0097,0.0776,-7.9104,142.915,161.337,0.6492,0.0448,0.7593,150,2
0.0065,0.078,-7.8613,142.921,161.396,0.5593,0.0046,0.8289,150,2
0.0058,0.2602,-7.8171,142.93,161.46,0.4669,0.0331,0.8837,150,2
0.0044,0.0537,-7.6951,142.936,161.69,0.3948,0.0919,0.9142,150,2
0.0044,0.1038,-7.6685,142.937,161.738,0.3425,0.0908,0.9351,150,2
0.0039,0.0787,-7.6338,142.947,161.835,0.3578,0.0868,0.9298,150,2
0.0038,0.181,-7.6023,142.953,161.908,0.2795,0.0632,0.9581,150,2
0.0043,0.0882,-8.2939,142.889,161.008,-0.1352,-0.4086,0.9027,151,2
0.0035,0.2074,-8.3077,142.855,161.088,-0.1227,-0.4301,0.8944,151,2
0.0047,0.216,-8.3371,142.764,161.272,-0.0845,-0.386,0.9186,151,2
0.0065,0.1288,-8.2242,142.934,161.284,-0.945,0.292,-0.1474,152,2
0.0065,0.2624,-8.3459,142.971,161.265,-0.9689,0.1573,-0.1909,152,2
0.0038,0.0902,-8.2422,142.929,161.197,0.103,-0.4825,0.8698,153,2
0.0196,0.1055,-8.2278,142.901,161.286,0.3184,-0.6165,0.7201,153,2
0.0196,0.173,-8.2058,142.824,161.376,0.838,-0.2084,0.5043,153,2
0.004,0.1888,-8.0612,142.786,161.463,0.4165,-0.3401,0.8431,153,2
0.0021,0.2006,-8.2536,142.972,161.181,-0.4785,0.6035,0.6378,154,2
0.0106,0.4128,-8.1681,143.028,161.042,-0.3593,-0.1611,0.9192,155,2
0.0173,0.2039,-8.3013,142.994,161.431,-0.1679,-0.1989,0.9655,155,2
0.0153,0.1146,-8.2869,143.029,161.667,-0.4774,-0.1445,0.8667,155,2
0.0137,0.0878,-8.2253,143.026,161.827,-0.4562,0.4026,0.7936,155,2
0.014,0.2806,-8.2618,143.17,161.875,0.4155,0.1631,0.8948,155,2
0.0086,0.0325,-8.1397,143.126,162.129,0.1976,0.04,0.9795,155,2
0.0158,0.0774,-8.1247,143.121,162.16,0.1346,0.0653,0.9887,155,2
0.0072,0.0533,-8.1274,143.135,162.239,0.3662,0.2635,0.8924,155,2
0.0073,0.0585,-8.0996,143.147,162.285,0.2743,0.1676,0.9469,155,2
0.0069,0.0729,-8.0784,143.152,162.339,0.2024,0.1204,0.9719,155,2
0.0047,0.118,-8.0672,143.166,162.41,0.1394,0.0746,0.9874,155,2
0.004,0.13,-8.0445,143.174,162.526,0.1387,0.0698,0.9879,155,2
0.0097,0.1474,-8.0915,143.205,162.667,0.1347,-0.1635,0.9773,155,2
0.0072,0.0734,-8.1027,143.191,162.813,0.0899,0.1298,0.9875,155,2
0.0063,0.1981,-8.1675,142.97,161.358,0.3471,-0.1789,0.9206,156,2
0.0057,0.1094,-8.0956,142.93,161.538,0.3383,-0.1559,0.928,156,2
0.006,0.1383,-8.06,142.917,161.641,0.2696,-0.221,0.9373,156,2
0.0073,0.0812,-8.0223,142.885,161.77,0.2369,-0.1222,0.9638,156,2
0.0081,0.0866,-8.0047,142.874,161.849,0.2187,-0.089,0.9717,156,2
0.0074,0.0802,-7.9852,142.864,161.933,0.2291,-0.0475,0.9722,156,2
0.0088,0.068,-7.9687,142.862,162.011,0.2152,-0.093,0.9721,156,2
0.0072,0.2412,-7.953,142.857,162.077,0.2425,-0.057,0.9685,156,2
0.0105,0.0985,-7.9031,142.834,162.313,0.3314,-0.0438,0.9425,156,2
0.0071,0.0875,-7.8874,142.844,162.409,0.1297,-0.0465,0.9905,156,2
0.0084,0.1098,-7.8754,142.85,162.498,0.1112,-0.2226,0.9685,156,2
0.0067,0.0666,-7.8601,142.826,162.604,0.1401,0.2476,0.9587,156,2
0.0033,0.2411,-8.2239,143.047,161.501,-0.2916,0.5246,0.7998,157,2
0.0034,0.2104,-8.212,143.053,161.508,0.6132,0.2943,0.733,158,2
0.0035,0.0681,-8.0846,143.116,161.663,0.6293,0.2697,0.7288,158,2
0.0047,0.1271,-8.0382,143.132,161.711,0.5786,0.2084,0.7886,158,2
0.0036,0.1468,-7.9658,143.163,161.812,0.8145,0.0732,0.5755,158,2
0.0028,0.1212,-8.1108,143.348,161.686,0.9191,0.0832,0.3852,159,2
0.0038,0.0704,-7.9991,143.358,161.732,0.8927,0.097,0.4401,159,2
0.0034,0.1574,-7.9351,143.365,161.762,0.8226,0.0929,0.561,159,2
0.0057,0.2062,-8.0282,143.451,161.924,0.6447,-0.193,0.7397,160,2
0.0025,0.0886,-8.0833,143.419,161.814,-0.431,0.7411,0.5148,161,2
0.0032,0.1231,-8.1273,143.486,161.854,-0.3154,0.7195,0.6187,161,2
0.0033,0.1756,-8.1684,143.575,161.93,-0.1796,0.6918,0.6994,161,2
0.0029,0.0445,-7.9627,143.571,162.201,0.4611,0.7634,0.4523,162,2
0.0029,0.1249,-7.9421,143.605,162.221,0.5955,0.6505,0.4714,162,2
0.0025,0.0942,-8.981,141.381,160.084,0.3563,0.0661,0.932,163,2
0.0025,0.1853,-8.9452,141.376,160.174,-0.0385,-0.2396,-0.9701,163,2
0.0096,0.2229,-8.973,141.527,160.535,0.8577,-0.4226,0.293,164,2
0.0096,0.0955,-8.8335,141.415,160.629,0.5447,-0.4562,0.7037,164,2
0.0096,0.2483,-8.7566,141.307,160.657,0.5859,-0.2507,0.7706,164,2
0.0096,0.1534,-8.6007,141.231,160.834,0.6237,-0.2475,0.7414,164,2
0.0055,0.0742,-8.7996,141.497,160.858,-0.3374,0.1431,0.9304,165,2
0.0054,0.0877,-8.8246,141.508,160.927,0.3967,-0.0465,0.9168,165,2
0.015,0.1644,-8.7807,141.509,161.04,-0.8935,-0.3288,0.3059,165,2
0.015,0.131,-8.9459,141.478,161.097,-0.1519,-0.3738,0.915,165,2
0.0077,0.0402,-8.671,141.481,161.292,0.1142,-0.5604,0.8203,166,2
0.0076,0.0306,-8.6664,141.459,161.325,0.2522,-0.1624,0.9539,166,2
0.0051,0.1314,-8.657,141.46,161.355,0.1784,-0.1597,0.9709,166,2
0.0074,0.1298,-8.6344,141.445,161.484,0.1123,-0.167,0.9795,166,2
0.0045,0.0612,-8.6202,141.416,161.61,0.0291,-0.0906,0.9955,166,2
0.0056,0.0492,-8.6147,141.413,161.671,-0.003,-0.1842,0.9829,166,2
0.0055,0.0518,-8.6168,141.403,161.72,0.1469,-0.1345,0.98,166,2
0.005,0.0532,-8.6087,141.396,161.771,0.1064,-0.1236,0.9866,166,2
0.0046,0.1351,-8.6095,141.386,161.824,0.1238,-0.0155,0.9922,166,2
0.0043,0.0626,-8.6791,141.483,161.26,-0.7761,-0.5382,-0.3287,167,2
0.0042,0.0459,-8.7277,141.449,161.24,-0.095,-0.6854,0.7219,167,2
0.0056,0.0828,-8.7323,141.41,161.267,-0.0855,-0.5958,0.7985,167,2
0.0043,0.1732,-8.7435,141.364,161.336,0.0112,-0.6013,0.799,167,2
0.0069,0.1585,-8.2957,141.994,161.238,-0.2322,0.2922,-0.9277,168,3
0.0069,0.1315,-8.298,142.061,161.098,-0.0306,0.3722,-0.9277,168,3
0.0068,0.031,-8.2847,142.099,160.977,0.521,0.8533,0.0219,168,3
0.0066,0.0889,-8.2428,142.165,160.935,0.533,0.4333,0.7267,168,3
0.0067,0.0937,-8.193,142.182,161.006,0.1644,0.2969,0.9406,168,3
0.0047,0.0667,-8.1748,142.2,161.096,0.1593,0.2473,0.9558,168,3
0.0049,0.2226,-8.1619,142.22,161.159,0.1352,0.2126,0.9677,168,3
0.0053,0.0699,-8.1336,142.268,161.374,0.1027,0.1977,0.9749,168,3
0.0041,0.1159,-8.1253,142.284,161.442,0.1384,0.1246,0.9825,168,3
0.006,0.1669,-8.1183,142.304,161.556,0.0811,0.0349,0.9961,168,3
0.0057,0.0827,-8.1008,142.306,161.724,0.0148,0.3003,0.9537,168,3
0.0043,0.0742,-8.0992,142.322,161.803,-0.0554,0.0752,0.9956,168,3
0.0021,0.0741,-8.2895,141.987,161.337,0.4269,-0.4816,0.7654,169,3
0.0026,0.2164,-8.254,141.948,161.39,0.3416,-0.4149,0.8433,169,3
0.0023,0.1542,-8.3164,142.019,161.549,0.7043,0.0465,0.7084,170,3
0.0025,0.0499,-8.3265,142.025,161.566,-0.502,0.5669,0.6532,171,3
0.0025,0.2005,-8.3515,142.053,161.599,-0.5564,-0.0326,0.8303,171,3
0.0066,0.2582,-8.3342,142.014,161.598,-0.0247,-0.5643,0.8252,172,3
0.0046,0.2245,-8.3375,142.022,161.846,-0.4988,-0.3535,0.7914,173,3
0.0039,0.1458,-8.3391,142.025,161.91,0.4938,0.0856,0.8654,174,3
0.0055,0.2193,-7.2314,142.781,161.404,0.4703,0.014,0.8824,175,3
0.01,0.0867,-7.7815,141.845,160.29,0.9514,-0.3076,-0.0176,176,3
0.0081,0.1219,-7.6939,141.817,160.31,0.9173,-0.3166,-0.2415,176,3
0.0123,0.061,-7.5879,141.759,160.281,0.8214,-0.2786,-0.4976,176,3
0.0078,0.0644,-7.5235,141.753,160.259,0.598,-0.2177,-0.7714,176,3
0.0109,0.1987,-7.4528,141.737,160.222,0.3374,-0.285,-0.8972,176,3
0.0097,0.1246,-7.3571,141.688,160.072,0.7163,-0.2072,-0.6663,176,3
0.0045,0.0906,-7.5958,142.06,160.378,0.9572,0.081,-0.2778,177,3
0.0025,0.2415,-7.4985,142.113,160.324,0.9708,-0.238,-0.0309,177,3
0.0025,0.2477,-7.2662,142.117,160.286,0.8908,0.2323,0.3906,177,3
0.0115,0.1324,-7.451,142.329,160.392,-0.1281,0.055,0.9902,178,3
0.0112,0.2142,-7.4622,142.331,160.525,0.019,0.2097,0.9776,178,3
0.0078,0.0975,-7.4626,142.358,160.738,0.0687,0.1794,0.9814,178,3
0.0069,0.0851,-7.4542,142.375,160.833,0.0435,0.1914,0.9805,178,3
0.0066,0.2188,-7.4511,142.39,160.917,0.0483,0.2047,0.9776,178,3
0.0062,0.0566,-7.4401,142.435,161.131,0.057,0.1996,0.9782,178,3
0.006,0.2143,-7.4237,142.439,161.207,-0.3987,0.7458,0.5337,178,3
0.0049,0.0472,-7.4968,142.587,161.337,-0.3239,0.6076,0.7252,178,3
0.0023,0.0857,-7.5167,142.616,161.369,-0.326,0.5534,0.7664,178,3
0.0164,0.3383,-7.3919,142.371,160.364,0.4564,-0.1172,0.882,179,3
0.0154,0.0795,-7.1479,142.316,160.646,0.2317,0.3949,0.889,179,3
0.0153,0.2186,-7.1852,142.372,160.737,0.4633,0.4242,0.7781,179,3
0.0118,0.084,-7.0414,142.412,160.865,0.5516,-0.1932,0.8114,179,3
0.0087,0.0941,-6.998,142.394,160.934,0.4028,-0.1034,0.9094,179,3
0.0108,0.0871,-6.9645,142.378,161.022,0.4933,-0.1456,0.8576,179,3
0.0069,0.1346,-6.9244,142.376,161.094,0.4073,0.2831,0.8683,179,3
0.01,0.1242,-6.8586,142.42,161.208,0.3211,-0.0026,0.9471,179,3
0.0051,0.1002,-6.8357,142.366,161.33,0.2791,-0.0088,0.9602,179,3
0.0069,0.1474,-7.2724,142.504,160.448,0.5291,-0.3158,0.7876,180,3
0.007,0.1178,-7.194,142.456,160.564,0.4784,-0.1955,0.8561,180,3
0.006,0.1304,-7.1366,142.434,160.664,0.4771,-0.1614,0.8639,180,3
0.0082,0.2551,-7.2649,142.535,160.458,0.7187,0.2713,0.6402,181,3
0.0057,0.1316,-7.0758,142.609,160.616,0.552,0.2582,0.7929,181,3
0.008,0.0689,-7.004,142.631,160.727,0.4387,0.3836,0.8127,181,3
0.0032,0.2147,-6.9648,142.667,160.775,0.4372,0.2744,0.8565,181,3
0.0034,0.1544,-7.2418,142.714,160.998,0.474,0.0014,0.8805,182,3
0.0039,0.1211,-7.1707,142.712,161.135,0.4933,0.0264,0.8695,182,3
0.0032,0.0997,-7.1109,142.715,161.24,0.4633,0.0757,0.883,182,3
0.0033,0.0634,-7.064,142.723,161.328,0.4085,0.0571,0.911,182,3
0.0046,0.1352,-7.0396,142.727,161.386,0.3999,0.0369,0.9158,182,3
0.0034,0.1514,-7.2417,142.709,160.983,0.3684,0.7197,0.5884,183,3
0.0034,0.2384,-7.1842,142.824,161.066,0.3043,0.6387,0.7067,183,3
0.0026,0.1397,-7.2455,142.753,161.253,0.5122,0.3203,0.7969,184,3
0.0031,0.1329,-7.1739,142.798,161.364,0.4626,0.3184,0.8274,184,3
0.0058,0.1537,-7.2547,142.741,161.221,-0.1005,-0.5016,0.8592,185,3
0.0056,0.0818,-7.317,142.685,161.335,-0.3478,0.0052,0.9376,185,3
0.0054,0.1235,-7.3754,142.559,161.424,-0.0484,0.1029,0.9935,185,3
0.0039,0.1074,-7.4046,142.522,161.559,0.1093,0.1934,0.975,185,3
0.0042,0.1261,-7.3942,142.543,161.664,0.0359,0.133,0.9905,185,3
0.0027,0.0759,-7.3885,142.561,161.788,0.0462,0.1224,0.9914,185,3
0.0062,0.0911,-7.9503,141.835,160.728,0.0591,-0.1572,0.9858,186,3
0.006,0.0182,-7.9449,141.82,160.817,-0.2145,-0.0146,0.9766,186,3
0.0067,0.1383,-7.9512,141.817,160.835,-0.1618,0.0561,0.9852,186,3
0.0302,0.15,-7.9451,141.823,160.995,-0.5678,0.3931,0.7233,186,3
0.0075,0.0655,-8.2315,141.48,161.234,-0.2043,-0.1088,0.9728,187,3
0.008,0.2389,-8.2716,141.477,161.304,0.1713,-0.1644,0.9714,187,3
