radius (m),length (m),x,y,z,a,b,c,branch,branch_order
0.0161,0.1072,-9.8074,142.423,161.318,-0.1423,0.2524,0.9571,3,1
0.0164,0.0588,-9.8214,142.447,161.421,-0.1088,0.2559,0.9606,3,1
0.015,0.0997,-9.8279,142.465,161.477,-0.1517,0.2461,0.9573,3,1
0.0143,0.0743,-9.8441,142.492,161.572,-0.098,0.2267,0.969,3,1
0.0137,0.1025,-9.8521,142.51,161.643,-0.0847,0.204,0.9753,3,1
0.007,0.1241,-9.8624,142.536,161.742,-0.0899,0.2719,0.9581,3,1
0.0063,0.1365,-9.8715,142.571,161.86,-0.0759,0.122,0.9896,3,1
0.0063,0.0893,-9.8824,142.586,161.996,-0.0502,0.2481,0.9674,3,1
0.0095,0.1497,-9.8974,142.606,162.083,0.0067,0.1026,0.9947,3,1
0.0048,0.0987,-9.8999,142.633,162.23,-0.0391,0.0978,0.9944,3,1
0.0139,0.0491,-9.9032,142.629,162.33,-0.0395,0.1245,0.9914,3,1
0.023,0.0574,-9.903,142.675,162.375,-0.0582,0.0921,0.994,3,1
0.0176,0.1227,-9.9046,142.64,162.436,-0.1022,0.0834,0.9913,3,1
0.0041,0.087,-9.9085,142.666,162.555,-0.0365,0.1552,0.9872,3,1
0.0056,0.1313,-9.9125,142.684,162.641,-0.0044,0.0223,0.9997,3,1
0.003,0.0632,-9.9147,142.688,162.772,-0.0476,0.1152,0.9922,3,1
0.0038,0.0448,-9.9176,142.697,162.835,-0.0507,-0.005,0.9987,3,1
0.004,0.1084,-9.9205,142.701,162.88,-0.0739,-0.0446,0.9963,3,1
0.047,0.4428,-8.6508,141.156,159.335,-0.6071,-0.174,0.7754,4,1
0.0423,0.1025,-8.9189,141.079,159.678,-0.5952,-0.0496,0.802,4,1
0.0418,0.1142,-8.981,141.075,159.76,-0.563,-0.0344,0.8258,4,1
0.0413,0.1098,-9.0444,141.071,159.855,-0.5744,-0.0301,0.818,4,1
0.0454,0.1219,-9.1069,141.066,159.945,-0.5395,-0.0096,0.8419,4,1
0.0409,0.1739,-9.1744,141.066,160.047,-0.4247,0.0354,0.9047,4,1
